Value,Status,Product,Call Sign MMSI: Last Modified Date
M6ZKX,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7MSP,Allocated,Amateur Foundation Radio Licence,05/11/2021
M6WFC,Allocated,Amateur Foundation Radio Licence,23/07/2016
20JSX,Allocated,Amateur Intermediate Radio Licence,12/01/2021
M6XBL,Allocated,Amateur Foundation Radio Licence,23/07/2016
20HSJ,Allocated,Amateur Intermediate Radio Licence,20/08/2020
M6SBZ,Allocated,Amateur Foundation Radio Licence,10/10/2018
M7ABX,Allocated,Amateur Foundation Radio Licence,22/11/2018
M6WKZ,Allocated,Amateur Foundation Radio Licence,06/01/2020
M7ONE,Allocated,Amateur Foundation Radio Licence,12/02/2021
M6AQG,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7CND,Allocated,Amateur Foundation Radio Licence,06/11/2021
M6AQH,Reserved,Amateur Foundation Radio Licence,10/08/2016
M7SKA,Allocated,Amateur Foundation Radio Licence,09/12/2022
M6AQI,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7DMR,Allocated,Amateur Foundation Radio Licence,20/06/2022
M6AQJ,Allocated,Amateur Foundation Radio Licence,10/08/2016
20WEH,Allocated,Amateur Intermediate Radio Licence,22/11/2018
M6AQK,Allocated,Amateur Foundation Radio Licence,10/08/2016
GM8ETJ,Allocated,Amateur Full Radio Licence,06/06/2019
M6MFJ,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7SDR,Allocated,Amateur Foundation Radio Licence,21/04/2019
M6XCM,Allocated,Amateur Foundation Radio Licence,04/10/2017
G4WWD,Allocated,,17/10/2019
M6YDX,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7DAR,Allocated,Amateur Foundation Radio Licence,22/03/2022
M3CYM,Allocated,Amateur Foundation Radio Licence,12/08/2016
M0UMM,Allocated,Amateur Full Radio Licence,18/01/2023
M6ASK,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7ABZ,Reserved,Amateur Foundation Radio Licence,28/03/2019
M3EKB,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7MDR,Allocated,Amateur Foundation Radio Licence,24/08/2021
M6DOT,Allocated,Amateur Foundation Radio Licence,10/08/2016
G4BHR,Available,,27/01/2022
M6ZAE,Allocated,Amateur Foundation Radio Licence,08/01/2021
M7ABY,Allocated,Amateur Foundation Radio Licence,22/11/2018
M6WAK,Allocated,Amateur Foundation Radio Licence,08/01/2021
G5DVS,Allocated,,25/02/2021
M6AQL,Allocated,Amateur Foundation Radio Licence,14/07/2022
M0ITJ,Allocated,Amateur Full Radio Licence,03/05/2022
M6KJT,Allocated,Amateur Foundation Radio Licence,04/09/2017
M0OOH,Allocated,Amateur Full Radio Licence,08/12/2020
M6RUN,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7JOY,Allocated,Amateur Foundation Radio Licence,28/09/2022
M6DBR,Allocated,Amateur Foundation Radio Licence,10/08/2016
M7VMR,Allocated,Amateur Foundation Radio Licence,30/08/2022
M6ERR,Allocated,Amateur Foundation Radio Licence,10/08/2016
20LHE,Allocated,Amateur Intermediate Radio Licence,22/11/2018
M6AYY,Allocated,Amateur Foundation Radio Licence,13/01/2020
G8ZZF,Allocated,Amateur Full Radio Licence,22/06/2022
M3YAV,Allocated,Amateur Foundation Radio Licence,23/07/2016
M7TOE,Allocated,Amateur Foundation Radio Licence,05/11/2021
M6ZAD,Allocated,Amateur Foundation Radio Licence,23/07/2016
