callsign,status,licence_class
20AUG,Allocated,
20AUG,Reserved,
20AUH,Allocated,Amateur Intermediate Radio Licence
20AUI,Allocated,Amateur Intermediate Radio Licence
20AUJ,Reserved,
20AUK,Reserved,
20AUL,Reserved,
20AUM,Allocated,Amateur Intermediate Radio Licence
20AUN,Reserved,
20AUO,Reserved,
20AUP,Reserved,
20AUQ,Reserved,
20AUR,Reserved,
20AUS,Reserved,
20AUT,Forbidden,
20AUU,Allocated,Amateur Intermediate Radio Licence
20AUV,Allocated,Amateur Intermediate Radio Licence
20AUW,Reserved,
20AUX,Reserved,
20AUY,Reserved,
20AUZ,Reserved,
20AVA,Allocated,Amateur Intermediate Radio Licence
20AVB,Allocated,Amateur Intermediate Radio Licence
20AVC,Reserved,
20AVD,Allocated,Amateur Intermediate Radio Licence
20AVE,Reserved,
20AVF,Reserved,
20AVG,Reserved,Amateur Intermediate Radio Licence
20AVH,Reserved,
20AVI,Reserved,
20AVJ,Reserved,
20AVK,Allocated,Amateur Intermediate Radio Licence
20AVL,Allocated,Amateur Intermediate Radio Licence
20AVM,Reserved,
20AVN,Reserved,
20AVO,Reserved,
20AVP,Allocated,Amateur Intermediate Radio Licence
20AVQ,Allocated,Amateur Intermediate Radio Licence
20AVR,Reserved,Amateur Intermediate Radio Licence
20AVS,Allocated,Amateur Intermediate Radio Licence
20AVT,Reserved,
20AVU,Reserved,
20AVV,Reserved,Amateur Intermediate Radio Licence
20AVW,Allocated,Amateur Intermediate Radio Licence
20AVX,Reserved,
20AVY,Reserved,
20AVZ,Allocated,Amateur Intermediate Radio Licence
20AWA,Allocated,Amateur Intermediate Radio Licence
20AWB,Reserved,
20AWC,Allocated,Amateur Intermediate Radio Licence
20AWD,Reserved,
20AWE,Allocated,Amateur Intermediate Radio Licence
20AWF,Allocated,Amateur Intermediate Radio Licence
20AWG,Allocated,Amateur Intermediate Radio Licence
20AWH,Reserved,
20AWI,Allocated,Amateur Intermediate Radio Licence
20AWJ,Reserved,
20AWK,Allocated,Amateur Intermediate Radio Licence
20AWL,Allocated,Amateur Intermediate Radio Licence
20AWM,Allocated,Amateur Intermediate Radio Licence
20AWN,Allocated,Amateur Intermediate Radio Licence
20AWO,Allocated,Amateur Intermediate Radio Licence
20AWP,Allocated,Amateur Intermediate Radio Licence
20AWQ,Reserved,
20AWR,Allocated,Amateur Intermediate Radio Licence
20AWS,Allocated,Amateur Intermediate Radio Licence
20AWT,Allocated,Amateur Intermediate Radio Licence
20AWU,Allocated,Amateur Intermediate Radio Licence
20AWV,Reserved,Amateur Intermediate Radio Licence
20AWW,Allocated,Amateur Intermediate Radio Licence
20AWX,Reserved,Amateur Intermediate Radio Licence
20AWY,Allocated,Amateur Intermediate Radio Licence
20AWZ,Allocated,Amateur Intermediate Radio Licence
20AXA,Allocated,Amateur Intermediate Radio Licence
20AXB,Allocated,Amateur Intermediate Radio Licence
20AXC,Reserved,
20AXD,Reserved,Amateur Intermediate Radio Licence
20AXE,Reserved,Amateur Intermediate Radio Licence
20AXF,Reserved,Amateur Intermediate Radio Licence
20AXG,Reserved,Amateur Intermediate Radio Licence
20AXH,Reserved,Amateur Intermediate Radio Licence
20AXI,Reserved,Amateur Intermediate Radio Licence
20AXJ,Reserved,Amateur Intermediate Radio Licence
20AXK,Reserved,Amateur Intermediate Radio Licence
20AXL,Reserved,
20AXM,Reserved,Amateur Intermediate Radio Licence
20AXN,Allocated,Amateur Intermediate Radio Licence
20AXO,Reserved,Amateur Intermediate Radio Licence
20AXP,Reserved,
20AXQ,Reserved,
20AXR,Reserved,Amateur Intermediate Radio Licence
20AXS,Reserved,Amateur Intermediate Radio Licence
20AXT,Allocated,Amateur Intermediate Radio Licence
20AXU,Reserved,Amateur Intermediate Radio Licence
20AXV,Reserved,Amateur Intermediate Radio Licence
20AXW,Reserved,Amateur Intermediate Radio Licence
20AXX,Allocated,Amateur Intermediate Radio Licence
20AXY,Reserved,Amateur Intermediate Radio Licence
20AXZ,Allocated,Amateur Intermediate Radio Licence
20AYA,Allocated,Amateur Intermediate Radio Licence
20AYB,Reserved,Amateur Intermediate Radio Licence
20AYC,Reserved,
20AYD,Allocated,Amateur Intermediate Radio Licence
20AYE,Reserved,Amateur Intermediate Radio Licence
20AYF,Reserved,
20AYG,Reserved,Amateur Intermediate Radio Licence
20AYH,Reserved,
20AYI,Allocated,Amateur Intermediate Radio Licence
20AYJ,Reserved,
20AYK,Allocated,Amateur Intermediate Radio Licence
20AYL,Reserved,Amateur Intermediate Radio Licence
20AYM,Reserved,Amateur Intermediate Radio Licence
20AYN,Reserved,Amateur Intermediate Radio Licence
20AYO,Reserved,Amateur Intermediate Radio Licence
20AYP,Reserved,Amateur Intermediate Radio Licence
20AYQ,Allocated,Amateur Intermediate Radio Licence
20AYR,Allocated,Amateur Intermediate Radio Licence
20AYS,Reserved,Amateur Intermediate Radio Licence
20AYT,Allocated,Amateur Intermediate Radio Licence
20AYU,Allocated,Amateur Intermediate Radio Licence
20AYV,Reserved,Amateur Intermediate Radio Licence
20AYW,Allocated,Amateur Intermediate Radio Licence
20AYX,Allocated,Amateur Intermediate Radio Licence
20AYY,Allocated,Amateur Intermediate Radio Licence
20AYZ,Allocated,Amateur Intermediate Radio Licence
20AZA,Allocated,Amateur Intermediate Radio Licence
20AZB,Allocated,Amateur Intermediate Radio Licence
20AZC,Allocated,Amateur Intermediate Radio Licence
20AZD,Allocated,Amateur Intermediate Radio Licence
20AZE,Reserved,Amateur Intermediate Radio Licence
20AZF,Allocated,Amateur Intermediate Radio Licence
20AZG,Reserved,
20AZH,Reserved,Amateur Intermediate Radio Licence
20AZI,Reserved,Amateur Intermediate Radio Licence
20AZJ,Allocated,Amateur Intermediate Radio Licence
20AZK,Allocated,Amateur Intermediate Radio Licence
20AZL,Allocated,Amateur Intermediate Radio Licence
20AZM,Allocated,Amateur Intermediate Radio Licence
20AZN,Allocated,Amateur Intermediate Radio Licence
20AZO,Reserved,Amateur Intermediate Radio Licence
20AZP,Allocated,Amateur Intermediate Radio Licence
20AZQ,Allocated,Amateur Intermediate Radio Licence
20AZR,Reserved,
20AZS,Allocated,Amateur Intermediate Radio Licence
20AZT,Allocated,Amateur Intermediate Radio Licence
20AZU,Allocated,Amateur Intermediate Radio Licence
20AZV,Allocated,Amateur Intermediate Radio Licence
20AZW,Allocated,Amateur Intermediate Radio Licence
20AZX,Reserved,Amateur Intermediate Radio Licence
20AZY,Reserved,Amateur Intermediate Radio Licence
20AZZ,Allocated,Amateur Intermediate Radio Licence
20BAA,Reserved,Amateur Intermediate Radio Licence
20BAB,Allocated,Amateur Intermediate Radio Licence
20BAC,Allocated,Amateur Intermediate Radio Licence
20BAD,Allocated,Amateur Intermediate Radio Licence
20BAE,Allocated,Amateur Intermediate Radio Licence
20BAF,Allocated,Amateur Intermediate Radio Licence
20BAG,Reserved,Amateur Intermediate Radio Licence
20BAH,Allocated,Amateur Intermediate Radio Licence
20BAI,Reserved,Amateur Intermediate Radio Licence
20BAJ,Allocated,Amateur Intermediate Radio Licence
20BAK,Allocated,Amateur Intermediate Radio Licence
20BAL,Reserved,
20BAM,Reserved,Amateur Intermediate Radio Licence
20BAN,Reserved,Amateur Intermediate Radio Licence
20BAO,Allocated,Amateur Intermediate Radio Licence
20BAP,Allocated,Amateur Intermediate Radio Licence
