callsign,status,licence_class
20BRQ,Allocated,
20BRS,Allocated,
20BRT,Allocated,
20BRU,Allocated,
20BRV,Allocated,
20BRY,Allocated,
20BSA,Allocated,
20BSB,Allocated,
20BSD,Allocated,
20BSE,Allocated,
20BSF,Allocated,
20BSG,Allocated,
20BSH,Allocated,
20BSI,Allocated,
20BSJ,Allocated,
20BSK,Allocated,
20BSL,Allocated,
20BSM,Allocated,
20BSN,Allocated,
20BSQ,Allocated,
20BSR,Allocated,
20BSS,Allocated,
20BST,Allocated,
20BSU,Allocated,
20BSV,Allocated,
20BSW,Allocated,
20BSX,Allocated,
20BSZ,Allocated,
20BTA,Allocated,
20BTB,Allocated,
20BTD,Allocated,
20BTE,Allocated,
20BTF,Allocated,
20BTH,Allocated,
20BTK,Allocated,
20BTL,Allocated,
20BTO,Allocated,
20BTP,Allocated,
20BTQ,Allocated,
20BTR,Allocated,
20BTS,Allocated,
20BTT,Allocated,
20BTU,Allocated,
20BTV,Allocated,
20BTW,Allocated,
20BTX,Allocated,
20BTY,Allocated,
20BTZ,Allocated,
20BUA,Allocated,
20BUB,Allocated,
20BUD,Allocated,
20BUE,Allocated,
20BUF,Allocated,
20BUG,Allocated,
20BUI,Allocated,
20BUJ,Allocated,
20BUK,Allocated,
20BUL,Allocated,
20BUN,Allocated,
20BUO,Allocated,
20BUP,Allocated,
20BUQ,Allocated,
20BUR,Allocated,
20BUS,Allocated,
20BUT,Allocated,
20BUV,Allocated,
20BUW,Allocated,
20BUX,Allocated,
20BUY,Allocated,
20BUZ,Allocated,
20BVA,Allocated,
20BVB,Allocated,
20BVC,Allocated,
20BVD,Allocated,
20BVE,Allocated,
20BVG,Allocated,
20BVH,Allocated,
20BVJ,Allocated,
20BVK,Allocated,
20BVM,Allocated,
20BVN,Allocated,
20BVO,Allocated,
20BVP,Allocated,
20BVQ,Allocated,
20BVR,Allocated,
20BVS,Allocated,
20BVT,Allocated,
20BVU,Allocated,
20BVV,Allocated,
20BVX,Allocated,
20BVY,Allocated,
20BVZ,Allocated,
20BWA,Allocated,
20BWB,Allocated,
20BWC,Allocated,
20BWD,Allocated,
20BWE,Allocated,
20BWF,Allocated,
20BWG,Allocated,
20BWH,Allocated,
20BWI,Allocated,
20BWJ,Allocated,
20BWK,Allocated,
20BWL,Allocated,
20BWM,Allocated,
20BWN,Allocated,
20BWP,Allocated,
20BWQ,Allocated,
20BWR,Allocated,
20BWS,Allocated,
20BWT,Allocated,
20BWU,Allocated,
20BWV,Allocated,
20BWW,Allocated,
20BWX,Allocated,
20BWY,Allocated,
20BWZ,Allocated,
20BXA,Allocated,
20BXC,Allocated,
20BXD,Allocated,
20BXE,Allocated,
20BXF,Allocated,
20BXG,Allocated,
20BXH,Allocated,
20BXJ,Allocated,
20BXK,Allocated,
20BXL,Allocated,
20BXM,Allocated,
20BXN,Allocated,
20BXP,Allocated,
20BXQ,Allocated,
20BXR,Allocated,
20BXS,Allocated,
20BXV,Allocated,
20BXW,Allocated,
20BXX,Allocated,
20BXY,Allocated,
20BXZ,Allocated,
20BYA,Allocated,
20BYC,Allocated,
20BYE,Allocated,
20BYF,Allocated,
20BYG,Allocated,
20BYH,Allocated,
20BYI,Allocated,
20BYJ,Allocated,
20BYK,Allocated,
20BYL,Allocated,
20BYM,Allocated,
20BYN,Allocated,
20BYO,Allocated,
20BYP,Allocated,
20BYQ,Allocated,
20BYS,Allocated,
20BYT,Allocated,
20BYV,Allocated,
20BYW,Allocated,
20BYX,Allocated,
20BZA,Allocated,
20BZB,Allocated,
20BZC,Allocated,
20BZD,Allocated,
20BZE,Allocated,
20BZG,Allocated,
20BZH,Allocated,
20BZI,Allocated,
20BZJ,Allocated,
20BZK,Allocated,
20BZL,Allocated,
20BZM,Allocated,
20BZO,Allocated,
20BZR,Allocated,
20BZS,Allocated,
20BZT,Allocated,
20BZU,Allocated,
20BZV,Allocated,
20BZX,Allocated,
20BZY,Allocated,
20BZZ,Allocated,
20CAA,Allocated,
20CAB,Allocated,
20CAC,Allocated,
20CAD,Allocated,
20CAE,Allocated,
20CAH,Allocated,
20CAI,Allocated,
20CAJ,Allocated,
20CAK,Allocated,
20CAL,Allocated,
20CAM,Allocated,
20CAN,Allocated,
20CAO,Allocated,
20CAP,Allocated,
20CAQ,Allocated,
20CAR,Allocated,
20CAS,Allocated,
20CAT,Allocated,
20CAU,Allocated,
20CAV,Allocated,
20CAW,Allocated,
20CAY,Allocated,
20CAZ,Allocated,
20CBA,Allocated,
20CBB,Allocated,
20CBC,Allocated,
20CBD,Allocated,
20CBE,Allocated,
20CBF,Allocated,
20CBG,Allocated,
20CBH,Allocated,
20CBJ,Allocated,
20CBK,Allocated,
20CBL,Allocated,
20CBM,Allocated,
20CBN,Allocated,
20CBO,Allocated,
20CBP,Allocated,
20CBQ,Allocated,
20CBR,Allocated,
20CBS,Allocated,
20CBT,Allocated,
20CBU,Allocated,
20CBV,Allocated,
20CBW,Allocated,
20CBX,Allocated,
20CBY,Allocated,
20CBZ,Allocated,
20CCA,Allocated,
20CCB,Allocated,
20CCC,Allocated,
20CCD,Allocated,
20CCF,Allocated,
20CCG,Allocated,
20CCJ,Allocated,
20CCK,Allocated,
20CCL,Allocated,
20CCM,Allocated,
20CCN,Allocated,
20CCP,Allocated,
20CCQ,Allocated,
20CCR,Allocated,
20CCS,Allocated,
20CCV,Allocated,
20CCW,Allocated,
20CCX,Allocated,
20CCY,Allocated,
20CDB,Allocated,
20CDC,Allocated,
20CDD,Allocated,
20CDE,Allocated,
20CDF,Allocated,
20CDG,Allocated,
20CDH,Allocated,
20CDI,Allocated,
20CDJ,Allocated,
20CDK,Allocated,
20CDL,Allocated,
20CDM,Allocated,
20CDN,Allocated,
20CDO,Allocated,
20CDP,Allocated,
20CDQ,Allocated,
20CDR,Allocated,
20CDS,Allocated,
20CDT,Allocated,
20CDU,Allocated,
20CDV,Allocated,
20CDW,Allocated,
20CDX,Allocated,
20CDZ,Allocated,
20CEA,Allocated,
20CEB,Allocated,
20CEC,Allocated,
20CED,Allocated,
20CEE,Allocated,
20CEF,Allocated,
20CEG,Allocated,
20CEH,Allocated,
20CEI,Allocated,
20CEJ,Allocated,
20CEK,Allocated,
20CEL,Allocated,
20CEM,Allocated,
20CEN,Allocated,
20CEO,Allocated,
20CEP,Allocated,
20CER,Allocated,
20CES,Allocated,
20CET,Allocated,
20CEU,Allocated,
20CEW,Allocated,
20CEX,Allocated,
20CEY,Allocated,
20CEZ,Allocated,
20CFA,Allocated,
20CFB,Allocated,
20CFD,Allocated,
20CFE,Allocated,
20CFF,Allocated,
20CFG,Allocated,
20CFH,Allocated,
20CFI,Allocated,
20CFK,Allocated,
20CFL,Allocated,
20CFM,Allocated,
20CFN,Allocated,
20CFP,Allocated,
20CFQ,Allocated,
20CFR,Allocated,
20CFS,Allocated,
20CFT,Allocated,
20CFU,Allocated,
20CFV,Allocated,
20CFW,Allocated,
20CFX,Allocated,
20CFY,Allocated,
20CFZ,Allocated,
20CGA,Allocated,
20CGB,Allocated,
20CGC,Allocated,
20CGE,Allocated,
20CGF,Allocated,
20CGG,Allocated,
20CGH,Allocated,
20CGI,Allocated,
20CGJ,Allocated,
20CGK,Allocated,
20CGL,Allocated,
20CGM,Allocated,
20CGP,Allocated,
20CGR,Allocated,
20CGS,Allocated,
20CGT,Allocated,
20CGU,Allocated,
20CGV,Allocated,
20CGW,Allocated,
20CGX,Allocated,
20CGY,Allocated,
20CGZ,Allocated,
20CHA,Allocated,
20CHB,Allocated,
20CHD,Allocated,
20CHF,Allocated,
20CHG,Allocated,
20CHH,Allocated,
20CHI,Allocated,
20CHJ,Allocated,
20CHK,Allocated,
20CHL,Allocated,
20CHM,Allocated,
20CHN,Allocated,
20CHO,Allocated,
20CHP,Allocated,
20CHQ,Allocated,
20CHS,Allocated,
20CHT,Allocated,
20CHU,Allocated,
20CHV,Allocated,
20CHW,Allocated,
20CHY,Allocated,
20CHZ,Allocated,
20CIA,Allocated,
20CIC,Allocated,
20CID,Allocated,
20CIG,Allocated,
20CIH,Allocated,
20CII,Allocated,
20CIJ,Allocated,
20CIK,Allocated,
20CIL,Allocated,
20CIM,Allocated,
20CIN,Allocated,
20CIO,Allocated,
20CIP,Allocated,
20CIQ,Allocated,
20CIR,Allocated,
20CIS,Allocated,
20CIT,Allocated,
20CIV,Allocated,
20CIW,Allocated,
20CIX,Allocated,
20CIY,Allocated,
20CIZ,Allocated,
20CJA,Allocated,
20CJB,Allocated,
20CJC,Allocated,
20CJD,Allocated,
20CJF,Allocated,
20CJG,Allocated,
20CJH,Allocated,
20CJJ,Allocated,
20CJK,Allocated,
20CJM,Allocated,
20CJN,Allocated,
20CJO,Allocated,
20CJP,Allocated,
20CJQ,Allocated,
20CJR,Allocated,
20CJS,Allocated,
20CJT,Allocated,
20CJU,Allocated,
20CJV,Allocated,
20CJW,Allocated,
20CJY,Allocated,
20CJZ,Allocated,
20CKA,Allocated,
20CKB,Allocated,
20CKC,Allocated,
20CKD,Allocated,
20CKE,Allocated,
20CKF,Allocated,
20CKG,Allocated,
20CKI,Allocated,
20CKJ,Allocated,
20CKK,Allocated,
20CKL,Allocated,
20CKM,Allocated,
20CKN,Allocated,
20CKO,Allocated,
20CKP,Allocated,
20CKQ,Allocated,
20CKR,Allocated,
20CKS,Allocated,
20CKT,Allocated,
20CKU,Allocated,
20CKV,Allocated,
20CKW,Allocated,
20CKX,Allocated,
20CKY,Allocated,
20CKZ,Allocated,
20CLA,Allocated,
20CLB,Allocated,
20CLC,Allocated,
20CLD,Allocated,
20CLE,Allocated,
20CLF,Allocated,
20CLG,Allocated,
20CLH,Allocated,
20CLI,Allocated,
20CLJ,Allocated,
20CLK,Allocated,
20CLL,Allocated,
20CLM,Allocated,
20CLN,Allocated,
20CLO,Allocated,
20CLP,Allocated,
20CLQ,Allocated,
20CLR,Allocated,
20CLS,Allocated,
20CLT,Allocated,
20CLU,Allocated,
20CLV,Allocated,
20CLW,Allocated,
20CLX,Allocated,
20CLY,Allocated,
20CLZ,Allocated,
20CMA,Allocated,
20CMB,Allocated,
20CMC,Allocated,
20CMD,Allocated,
20CME,Allocated,
20CMF,Allocated,
20CMG,Allocated,
20CMH,Allocated,
20CMI,Allocated,
20CMK,Allocated,
20CML,Allocated,
20CMM,Allocated,
20CMN,Allocated,
20CMO,Allocated,
20CMP,Allocated,
20CMQ,Allocated,
20CMR,Allocated,
20CMS,Allocated,
20CMT,Allocated,
20CMU,Allocated,
20CMV,Allocated,
20CMW,Allocated,
20CMX,Allocated,
20CMY,Allocated,
20CMZ,Allocated,
20CNA,Allocated,
20CNB,Allocated,
20CNC,Allocated,
20CND,Allocated,
20CNE,Allocated,
20CNF,Allocated,
20CNG,Allocated,
20CNH,Allocated,
20CNJ,Allocated,
20CNK,Allocated,
20CNL,Allocated,
20CNM,Allocated,
20CNN,Allocated,
20CNP,Allocated,
20CNQ,Allocated,
20CNS,Allocated,
20CNU,Allocated,
20CNV,Allocated,
20CNW,Allocated,
20CNX,Allocated,
20CNY,Allocated,
20CNZ,Allocated,
20COA,Allocated,
20COB,Allocated,
20COD,Allocated,
20COF,Allocated,
20COI,Allocated,
20COJ,Allocated,
20COL,Allocated,
20COM,Allocated,
20CON,Allocated,
20COO,Allocated,
20COP,Allocated,
20COQ,Allocated,
20COR,Allocated,
20COS,Allocated,
20COT,Allocated,
20COU,Allocated,
20COV,Allocated,
20COX,Allocated,
20COY,Allocated,
20CPA,Allocated,
20CPB,Allocated,
20CPD,Allocated,
20CPE,Allocated,
20CPF,Allocated,
20CPG,Allocated,
20CPI,Allocated,
20CPJ,Allocated,
20CPK,Allocated,
20CPL,Allocated,
20CPM,Allocated,
20CPN,Allocated,
20CPP,Allocated,
20CPR,Allocated,
20CPS,Allocated,
20CPU,Allocated,
20CPV,Allocated,
20CPW,Allocated,
20CPX,Allocated,
20CQA,Allocated,
20CQB,Allocated,
20CQC,Allocated,
20CQD,Allocated,
20CQE,Allocated,
20CQG,Allocated,
20CQH,Allocated,
20CQI,Allocated,
20CQJ,Allocated,
20CQL,Allocated,
20CQM,Allocated,
20CQN,Allocated,
20CQO,Allocated,
20CQP,Allocated,
20CQQ,Allocated,
20CQR,Allocated,
20CQS,Allocated,
20CQT,Allocated,
20CQV,Allocated,
20CQW,Allocated,
20CQX,Allocated,
20CQY,Allocated,
20CQZ,Allocated,
20CRB,Allocated,
20CRC,Allocated,
20CRD,Allocated,
20CRE,Allocated,
20CRF,Allocated,
20CRG,Allocated,
20CRH,Allocated,
20CRI,Allocated,
20CRJ,Allocated,
20CRK,Allocated,
20CRL,Allocated,
20CRM,Allocated,
20CRN,Allocated,
20CRP,Allocated,
20CRQ,Allocated,
20CRR,Allocated,
20CRS,Allocated,
20CRT,Allocated,
20CRU,Allocated,
20CRV,Allocated,
20CRX,Allocated,
20CRZ,Allocated,
20CSA,Allocated,
20CSC,Allocated,
20CSD,Allocated,
20CSE,Allocated,
20CSF,Allocated,
20CSG,Allocated,
20CSH,Allocated,
20CSI,Allocated,
20CSJ,Allocated,
20CSK,Allocated,
20CSL,Allocated,
20CSN,Allocated,
20CSO,Allocated,
20CSQ,Allocated,
20CSR,Allocated,
20CSS,Allocated,
20CSU,Allocated,
20CSV,Allocated,
20CSW,Allocated,
20CSX,Allocated,
20CSY,Allocated,
20CSZ,Allocated,
20CTA,Allocated,
20CTB,Allocated,
20CTC,Allocated,
20CTD,Allocated,
20CTE,Allocated,
20CTF,Allocated,
20CTG,Allocated,
20CTH,Allocated,
20CTI,Allocated,
20CTJ,Allocated,
20CTK,Allocated,
20CTL,Allocated,
20CTM,Allocated,
20CTN,Allocated,
20CTO,Allocated,
20CTP,Allocated,
20CTQ,Allocated,
20CTR,Allocated,
20CTS,Allocated,
20CTT,Allocated,
20CTU,Allocated,
20CTV,Allocated,
20CTW,Allocated,
20CTX,Allocated,
20CTY,Allocated,
20CTZ,Allocated,
20CUA,Allocated,
20CUB,Allocated,
20CUC,Allocated,
20CUE,Allocated,
20CUF,Allocated,
20CUH,Allocated,
20CUI,Allocated,
20CUJ,Allocated,
20CUK,Allocated,
20CUL,Allocated,
20CUN,Allocated,
20CUO,Allocated,
20CUP,Allocated,
20CUQ,Allocated,
20CUR,Allocated,
20CUS,Allocated,
20CUU,Allocated,
20CUV,Allocated,
20CUW,Allocated,
20CUY,Allocated,
20CUZ,Allocated,
20CVA,Allocated,
20CVB,Allocated,
20CVC,Allocated,
20CVD,Allocated,
20CVE,Allocated,
20CVF,Allocated,
20CVG,Allocated,
20CVI,Allocated,
20CVJ,Allocated,
20CVK,Allocated,
20CVL,Allocated,
20CVM,Allocated,
20CVN,Allocated,
20CVO,Allocated,
20CVP,Allocated,
20CVQ,Allocated,
