Value__c,Product__c,Status__c,Type__c
M0XPK,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M0UDB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
20IJP,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M0KLZ,Amateur Club Radio Licence,Allocated,Call Sign - Amateur
M7FFV,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20NVL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7LWL,Amateur Foundation Radio Licence,Reserved,Call Sign - Amateur
M0IYH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7WGF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20GDJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M1LDR,,Allocated,Call Sign - Amateur
M7HOE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7AZF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7TNO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EOR,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7WHM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7HFY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7CAV,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0KNS,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7XII,Amateur Foundation Radio Licence,Reserved,Call Sign - Amateur
M7BVY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0OQO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
G1USD,Amateur Full Radio Licence,Reserved,Call Sign - Amateur
M7XST,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0KGJ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7EXD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0NXD,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7SCI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7TFS,Amateur Foundation Radio Licence,Reserved,Call Sign - Amateur
M7EKT,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0NNO,Amateur Club Radio Licence,Allocated,Call Sign - Amateur
M7EBY,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GYT,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7NDO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20MTQ,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur
M7IKA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20SHS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7IKB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20HOY,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20FVU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7DYM,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GGZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7HMF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7RNE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20JGA,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20IBJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7YOO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
G5DPM,,Allocated,Call Sign - Amateur
M0YFM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
20LKD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20IBK,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
20IBH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7DSZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7HZS,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7TUT,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20NNC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M0KQD,Amateur Full Radio Licence,Reserved,Call Sign - Amateur
M7GUK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7REW,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7FCT,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7VZZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7FGN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7NKW,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7FPH,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EAE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7LCG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GRX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20LWF,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
