Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag
M,6,FYS,M6FYS,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYT,M6FYT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYU,M6FYU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYW,M6FYW,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYX,M6FYX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FYY,M6FYY,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZA,M6FZA,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZB,M6FZB,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZC,M6FZC,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZD,M6FZD,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZE,M6FZE,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZG,M6FZG,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZH,M6FZH,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZI,M6FZI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZK,M6FZK,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZL,M6FZL,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZM,M6FZM,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZN,M6FZN,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZO,M6FZO,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZP,M6FZP,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZQ,M6FZQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZT,M6FZT,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZU,M6FZU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZV,M6FZV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZX,M6FZX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,FZZ,M6FZZ,Call Sign,Amateur Foundation Radio Licence,Available,N
