callsign,status,licence_class,suffix
M6FPZ,Available,Amateur Foundation Radio Licence,FPZ
M6FQA,Available,Amateur Foundation Radio Licence,FQA
M6FQB,Available,Amateur Foundation Radio Licence,FQB
M6FQD,Available,Amateur Foundation Radio Licence,FQD
M6FQE,Available,Amateur Foundation Radio Licence,FQE
M6FQF,Available,Amateur Foundation Radio Licence,FQF
M6FQG,Available,Amateur Foundation Radio Licence,FQG
M6FQH,Available,Amateur Foundation Radio Licence,FQH
M6FQI,Available,Amateur Foundation Radio Licence,FQI
M6FQJ,Available,Amateur Foundation Radio Licence,FQJ
M6FQK,Available,Amateur Foundation Radio Licence,FQK
M6FQL,Available,Amateur Foundation Radio Licence,FQL
M6FQM,Available,Amateur Foundation Radio Licence,FQM
M6FQN,Available,Amateur Foundation Radio Licence,FQN
M6FQO,Available,Amateur Foundation Radio Licence,FQO
M6FQP,Available,Amateur Foundation Radio Licence,FQP
M6FQQ,Available,Amateur Foundation Radio Licence,FQQ
M6FQR,Available,Amateur Foundation Radio Licence,FQR
M6FQS,Available,Amateur Foundation Radio Licence,FQS
M6FQT,Available,Amateur Foundation Radio Licence,FQT
M6FQU,Available,Amateur Foundation Radio Licence,FQU
M6FQV,Available,Amateur Foundation Radio Licence,FQV
M6FQW,Available,Amateur Foundation Radio Licence,FQW
M6FQX,Available,Amateur Foundation Radio Licence,FQX
M6FQY,Available,Amateur Foundation Radio Licence,FQY
M6FQZ,Available,Amateur Foundation Radio Licence,FQZ
M6FRB,Available,Amateur Foundation Radio Licence,FRB
M6FRF,Available,Amateur Foundation Radio Licence,FRF
M6FRH,Available,Amateur Foundation Radio Licence,FRH
M6FRJ,Available,Amateur Foundation Radio Licence,FRJ
M6FRL,Available,Amateur Foundation Radio Licence,FRL
M6FRM,Available,Amateur Foundation Radio Licence,FRM
M6FRN,Available,Amateur Foundation Radio Licence,FRN
M6FRP,Available,Amateur Foundation Radio Licence,FRP
M6FRQ,Available,Amateur Foundation Radio Licence,FRQ
M6FRR,Available,Amateur Foundation Radio Licence,FRR
M6FRW,Available,Amateur Foundation Radio Licence,FRW
M6FRX,Available,Amateur Foundation Radio Licence,FRX
M6FRZ,Available,Amateur Foundation Radio Licence,FRZ
M6FSA,Available,Amateur Foundation Radio Licence,FSA
M6FSD,Available,Amateur Foundation Radio Licence,FSD
M6FSE,Available,Amateur Foundation Radio Licence,FSE
M6FSI,Available,Amateur Foundation Radio Licence,FSI
