callsign,status,licence_class,suffix
M0INH,Available,Amateur Full Radio Licence,INH
M0INJ,Available,Amateur Full Radio Licence,INJ
M0INL,Available,Amateur Full Radio Licence,INL
M0INM,Available,Amateur Full Radio Licence,INM
M0INN,Available,Amateur Full Radio Licence,INN
M0INO,Available,Amateur Full Radio Licence,INO
M0INQ,Available,Amateur Full Radio Licence,INQ
M0INR,Available,Amateur Full Radio Licence,INR
M0INU,Available,Amateur Full Radio Licence,INU
M0INW,Available,Amateur Full Radio Licence,INW
M0INX,Available,Amateur Full Radio Licence,INX
M0INZ,Available,Amateur Full Radio Licence,INZ
M0IOA,Available,Amateur Full Radio Licence,IOA
M0IOE,Available,Amateur Full Radio Licence,IOE
M0IOF,Available,Amateur Full Radio Licence,IOF
M0IOG,Available,Amateur Full Radio Licence,IOG
M0IOH,Available,Amateur Full Radio Licence,IOH
M0IOJ,Available,Amateur Full Radio Licence,IOJ
M0IOO,Available,Amateur Full Radio Licence,IOO
M0IOP,Available,Amateur Full Radio Licence,IOP
M0IOQ,Available,Amateur Full Radio Licence,IOQ
M0IOS,Available,Amateur Full Radio Licence,IOS
M0IOV,Available,Amateur Full Radio Licence,IOV
M0IOX,Available,Amateur Full Radio Licence,IOX
M0IOZ,Available,Amateur Full Radio Licence,IOZ
M0IPB,Available,Amateur Full Radio Licence,IPB
M0IPE,Available,Amateur Full Radio Licence,IPE
M0IPF,Available,Amateur Full Radio Licence,IPF
M0IPG,Available,Amateur Full Radio Licence,IPG
M0IPH,Available,Amateur Full Radio Licence,IPH
M0IPI,Available,Amateur Full Radio Licence,IPI
M0IPJ,Available,Amateur Full Radio Licence,IPJ
M0IPK,Available,Amateur Full Radio Licence,IPK
M0IPL,Available,Amateur Full Radio Licence,IPL
M0IPM,Available,Amateur Full Radio Licence,IPM
M0IPN,Available,Amateur Full Radio Licence,IPN
M0IPO,Available,Amateur Full Radio Licence,IPO
M0IPP,Available,Amateur Full Radio Licence,IPP
M0IPQ,Available,Amateur Full Radio Licence,IPQ
M0IPT,Available,Amateur Full Radio Licence,IPT
M0IPV,Available,Amateur Full Radio Licence,IPV
M0IPW,Available,Amateur Full Radio Licence,IPW
M0IPY,Available,Amateur Full Radio Licence,IPY
M0IPZ,Available,Amateur Full Radio Licence,IPZ
M0IQA,Available,Amateur Full Radio Licence,IQA
M0IQC,Available,Amateur Full Radio Licence,IQC
M0IQD,Available,Amateur Full Radio Licence,IQD
M0IQE,Available,Amateur Full Radio Licence,IQE
M0IQF,Available,Amateur Full Radio Licence,IQF
M0IQG,Available,Amateur Full Radio Licence,IQG
M0IQH,Available,Amateur Full Radio Licence,IQH
M0IQI,Available,Amateur Full Radio Licence,IQI
M0IQJ,Available,Amateur Full Radio Licence,IQJ
M0IQK,Available,Amateur Full Radio Licence,IQK
M0IQL,Available,Amateur Full Radio Licence,IQL
M0IQM,Available,Amateur Full Radio Licence,IQM
M0IQN,Available,Amateur Full Radio Licence,IQN
M0IQO,Available,Amateur Full Radio Licence,IQO
