Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag
M,0,IGV,M0IGV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGW,M0IGW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGX,M0IGX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IGZ,M0IGZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHA,M0IHA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHB,M0IHB,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHC,M0IHC,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHE,M0IHE,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHF,M0IHF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHG,M0IHG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHH,M0IHH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHI,M0IHI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHJ,M0IHJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHK,M0IHK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHN,M0IHN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHP,M0IHP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHQ,M0IHQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHR,M0IHR,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHS,M0IHS,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHT,M0IHT,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHU,M0IHU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHV,M0IHV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHW,M0IHW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHX,M0IHX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IHY,M0IHY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIA,M0IIA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIB,M0IIB,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IID,M0IID,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIF,M0IIF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIH,M0IIH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIJ,M0IIJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIK,M0IIK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIL,M0IIL,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIN,M0IIN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIO,M0IIO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIP,M0IIP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIQ,M0IIQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIS,M0IIS,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIT,M0IIT,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIU,M0IIU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIV,M0IIV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIW,M0IIW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIX,M0IIX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIY,M0IIY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IIZ,M0IIZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJA,M0IJA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJB,M0IJB,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJC,M0IJC,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJE,M0IJE,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJF,M0IJF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJG,M0IJG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJH,M0IJH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJI,M0IJI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJJ,M0IJJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJK,M0IJK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJL,M0IJL,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJN,M0IJN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJO,M0IJO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJP,M0IJP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJQ,M0IJQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJR,M0IJR,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJT,M0IJT,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJU,M0IJU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJV,M0IJV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJW,M0IJW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJX,M0IJX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IJY,M0IJY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKA,M0IKA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKC,M0IKC,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKG,M0IKG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKH,M0IKH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKI,M0IKI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKJ,M0IKJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKN,M0IKN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKO,M0IKO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKP,M0IKP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKR,M0IKR,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKS,M0IKS,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKT,M0IKT,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKU,M0IKU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKV,M0IKV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKX,M0IKX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKY,M0IKY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IKZ,M0IKZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILA,M0ILA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILC,M0ILC,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILD,M0ILD,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILE,M0ILE,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILF,M0ILF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILG,M0ILG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILH,M0ILH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILI,M0ILI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILK,M0ILK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILL,M0ILL,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILO,M0ILO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILP,M0ILP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILQ,M0ILQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILR,M0ILR,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILU,M0ILU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILV,M0ILV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILW,M0ILW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILX,M0ILX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILY,M0ILY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ILZ,M0ILZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMB,M0IMB,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMF,M0IMF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMG,M0IMG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMH,M0IMH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMK,M0IMK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMN,M0IMN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMO,M0IMO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMQ,M0IMQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMS,M0IMS,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMU,M0IMU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMV,M0IMV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMX,M0IMX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMY,M0IMY,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IMZ,M0IMZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INA,M0INA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INC,M0INC,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INE,M0INE,Call Sign,Amateur Full Radio Licence,Available,N
M,0,ING,M0ING,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INH,M0INH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INJ,M0INJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INL,M0INL,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INM,M0INM,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INN,M0INN,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INO,M0INO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INQ,M0INQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INR,M0INR,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INU,M0INU,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INW,M0INW,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INX,M0INX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,INZ,M0INZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOA,M0IOA,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOE,M0IOE,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOF,M0IOF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOG,M0IOG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOH,M0IOH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOJ,M0IOJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOO,M0IOO,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOP,M0IOP,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOQ,M0IOQ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOS,M0IOS,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOV,M0IOV,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOX,M0IOX,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IOZ,M0IOZ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IPB,M0IPB,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IPE,M0IPE,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IPF,M0IPF,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IPG,M0IPG,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IPH,M0IPH,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IPI,M0IPI,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IPJ,M0IPJ,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IPK,M0IPK,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IPL,M0IPL,Call Sign,Amateur Full Radio Licence,Available,N
M,0,IPM,M0IPM,Call Sign,Amateur Full Radio Licence,Available,N
