callsign,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20ANV,parsed,2#0,,ANV,2#0ANV,,Intermediate,missing-rsl
20AOK,parsed,2#0,,AOK,2#0AOK,,Intermediate,missing-rsl
20AOL,parsed,2#0,,AOL,2#0AOL,,Intermediate,missing-rsl
20AOS,parsed,2#0,,AOS,2#0AOS,,Intermediate,missing-rsl
20AOU,parsed,2#0,,AOU,2#0AOU,,Intermediate,missing-rsl
20AOZ,parsed,2#0,,AOZ,2#0AOZ,,Intermediate,missing-rsl
20APB,parsed,2#0,,APB,2#0APB,,Intermediate,missing-rsl
20APG,parsed,2#0,,APG,2#0APG,,Intermediate,missing-rsl
20APJ,parsed,2#0,,APJ,2#0APJ,,Intermediate,missing-rsl
20APM,parsed,2#0,,APM,2#0APM,,Intermediate,missing-rsl
20APN,parsed,2#0,,APN,2#0APN,,Intermediate,missing-rsl
20APR,parsed,2#0,,APR,2#0APR,,Intermediate,missing-rsl
20APT,parsed,2#0,,APT,2#0APT,,Intermediate,missing-rsl
20APX,parsed,2#0,,APX,2#0APX,,Intermediate,missing-rsl
20APY,parsed,2#0,,APY,2#0APY,,Intermediate,missing-rsl
20APZ,parsed,2#0,,APZ,2#0APZ,,Intermediate,missing-rsl
20AQE,parsed,2#0,,AQE,2#0AQE,,Intermediate,missing-rsl
20AQI,parsed,2#0,,AQI,2#0AQI,,Intermediate,missing-rsl
20AQR,parsed,2#0,,AQR,2#0AQR,,Intermediate,missing-rsl
20AQU,parsed,2#0,,AQU,2#0AQU,,Intermediate,missing-rsl
20ARA,parsed,2#0,,ARA,2#0ARA,,Intermediate,missing-rsl
20ARE,parsed,2#0,,ARE,2#0ARE,,Intermediate,missing-rsl
20ARI,parsed,2#0,,ARI,2#0ARI,,Intermediate,missing-rsl
20ARJ,parsed,2#0,,ARJ,2#0ARJ,,Intermediate,missing-rsl
20ARO,parsed,2#0,,ARO,2#0ARO,,Intermediate,missing-rsl
20ARV,parsed,2#0,,ARV,2#0ARV,,Intermediate,missing-rsl
20ARW,parsed,2#0,,ARW,2#0ARW,,Intermediate,missing-rsl
20ASJ,parsed,2#0,,ASJ,2#0ASJ,,Intermediate,missing-rsl
20ASU,parsed,2#0,,ASU,2#0ASU,,Intermediate,missing-rsl
20ASW,parsed,2#0,,ASW,2#0ASW,,Intermediate,missing-rsl
20ASX,parsed,2#0,,ASX,2#0ASX,,Intermediate,missing-rsl
20ATB,parsed,2#0,,ATB,2#0ATB,,Intermediate,missing-rsl
20ATF,parsed,2#0,,ATF,2#0ATF,,Intermediate,missing-rsl
20ATO,parsed,2#0,,ATO,2#0ATO,,Intermediate,missing-rsl
20ATY,parsed,2#0,,ATY,2#0ATY,,Intermediate,missing-rsl
20ATZ,parsed,2#0,,ATZ,2#0ATZ,,Intermediate,missing-rsl
20AUC,parsed,2#0,,AUC,2#0AUC,,Intermediate,missing-rsl
20AUG,parsed,2#0,,AUG,2#0AUG,,Intermediate,missing-rsl
20AUH,parsed,2#0,,AUH,2#0AUH,,Intermediate,missing-rsl
20AUI,parsed,2#0,,AUI,2#0AUI,,Intermediate,missing-rsl
20AUM,parsed,2#0,,AUM,2#0AUM,,Intermediate,missing-rsl
20AUU,parsed,2#0,,AUU,2#0AUU,,Intermediate,missing-rsl
20AUV,parsed,2#0,,AUV,2#0AUV,,Intermediate,missing-rsl
