Value,Status,Type,Reserved to Date,Original Start Date,Licence Type
M6SFI,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
M0ITJ,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Full Radio Licence
M6KTJ,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
M0OOH,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Full Radio Licence
M6NHC,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
M7JOY,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Foundation Radio Licence
M6CDF,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
20LHE,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Intermediate Radio Licence
M6BXP,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
20FCD,Allocated,Call Sign - Amateur,,2018-11-22,Amateur Intermediate Radio Licence
M6RYD,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
M7AYU,Allocated,Call Sign - Amateur,,2020-08-07,Amateur Foundation Radio Licence
M6ZDK,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
M7FGC,Allocated,Call Sign - Amateur,,2020-11-09,Amateur Foundation Radio Licence
M6BGZ,Allocated,Call Sign - Amateur,,2011-12-01,Amateur Foundation Radio Licence
M7GBD,Allocated,Call Sign - Amateur,,2019-12-15,Amateur Foundation Radio Licence
M6JPF,Allocated,Call Sign - Amateur,,2011-12-02,Amateur Foundation Radio Licence
M7DGT,Allocated,Call Sign - Amateur,,2018-11-23,Amateur Foundation Radio Licence
M6BHB,Allocated,Call Sign - Amateur,,2011-12-02,Amateur Foundation Radio Licence
M7MEM,Allocated,Call Sign - Amateur,,2020-08-15,Amateur Foundation Radio Licence
M6WFO,Reserved,Call Sign - Amateur,,,
M7TGB,Allocated,Call Sign - Amateur,,2020-08-15,Amateur Foundation Radio Licence
M6BHA,Allocated,Call Sign - Amateur,,2011-12-02,Amateur Foundation Radio Licence
20SPO,Allocated,Call Sign - Amateur,,2018-11-23,Amateur Intermediate Radio Licence
M6BHC,Allocated,Call Sign - Amateur,,2011-12-02,Amateur Foundation Radio Licence
20KLZ,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Intermediate Radio Licence
M3ZYV,Allocated,Call Sign - Amateur,,2007-05-10,Amateur Foundation Radio Licence
20FSQ,Allocated,Call Sign - Amateur,,2020-03-08,Amateur Intermediate Radio Licence
M6KMF,Allocated,Call Sign - Amateur,,2011-12-02,Amateur Foundation Radio Licence
M7DDA,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Foundation Radio Licence
M6BHD,Allocated,Call Sign - Amateur,,2011-12-02,Amateur Foundation Radio Licence
20NRE,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Intermediate Radio Licence
M6NUM,Allocated,Call Sign - Amateur,,2012-04-04,Amateur Foundation Radio Licence
M7KAT,Allocated,Call Sign - Amateur,,2018-11-24,Amateur Foundation Radio Licence
M6YDR,Reserved,Call Sign - Amateur,,,
