callsign,status,licence_class,created_date,last_modified_date,reserved_to_date,licence_cancel_date
20AOG,Reserved,,2016-08-12,2016-08-12,,
20AOH,Reserved,,2016-08-12,2016-08-12,,
20AOI,Reserved,,2016-08-12,2016-08-12,,
20AOJ,Reserved,,2016-08-12,2016-08-12,,
20AOM,Reserved,,2016-08-12,2016-08-12,,
20AON,Reserved,,2016-08-12,2016-08-12,,
20AOP,Reserved,,2016-08-12,2016-08-12,,
20AOQ,Reserved,,2016-08-12,2016-08-12,,
20AOR,Reserved,,2016-08-12,2016-08-12,,
20AOT,Reserved,,2016-08-12,2016-08-12,,
20AOV,Reserved,,2016-08-02,2016-08-12,,
20AOW,Reserved,,2016-08-12,2016-08-12,,
20AOX,Reserved,,2016-08-12,2016-08-12,,
20AOY,Reserved,,2016-08-12,2016-08-12,,
20APA,Reserved,,2016-08-12,2016-08-12,,
20APC,Reserved,,2016-08-12,2016-08-12,,
20APD,Reserved,,2016-08-12,2016-08-12,,
20APE,Reserved,,2016-08-12,2016-08-12,,
20APF,Reserved,,2016-08-12,2016-08-12,,
20APH,Reserved,,2016-08-12,2016-08-12,,
20API,Reserved,,2016-08-12,2016-08-12,,
20APK,Reserved,,2016-08-12,2016-08-12,,
20APL,Reserved,,2016-08-12,2016-08-12,,
20APM,Reserved,,2016-07-23,2016-08-12,,1997-01-28
20APO,Reserved,,2016-08-12,2016-08-12,,
20APP,Reserved,,2016-08-12,2016-08-12,,
20APQ,Reserved,,2016-08-12,2016-08-17,,
20APS,Reserved,,2016-08-12,2016-08-17,,
20APU,Reserved,,2016-08-12,2016-08-12,,
20APV,Reserved,,2016-08-12,2016-08-12,,
20APW,Reserved,,2016-08-12,2016-08-12,,
20AQA,Reserved,,2016-08-02,2016-08-12,,
20AQB,Reserved,,2016-08-12,2016-08-12,,
20AQC,Reserved,,2016-08-12,2016-08-12,,
20AQD,Reserved,,2016-08-12,2016-08-12,,
20AQF,Reserved,,2016-08-12,2016-08-12,,
20AQG,Reserved,,2016-08-12,2016-08-12,,
20AQH,Reserved,,2016-08-12,2016-08-12,,
20AQJ,Reserved,,2016-08-12,2016-08-12,,
20AQK,Reserved,,2016-08-12,2016-08-12,,
20AQL,Reserved,,2016-08-12,2016-08-12,,
20AQM,Reserved,,2016-08-12,2016-08-12,,
20AQN,Reserved,,2016-08-12,2016-08-12,,
20AQO,Reserved,,2016-08-12,2016-08-12,,
20AQP,Reserved,,2016-08-12,2016-08-12,,
