callsign,status
G0PYM,Live
G0PZE,Live
G0PZJ,Live
G0PZJ,Surrendered
G0PZR,Live
G0RAF,Live
G0RAY,Live
G0RBG,Surrendered
G0RCS,Live
G0RCW,Live
G0RED,Live
G0REF,Live
G0RFC,Surrendered
G0RGH,Live
G0RIV,Surrendered
G0RIV,Surrendered
G0RNI,Live
G0RNR,Live
G0ROC,Live
G0ROC,Surrendered
G0ROO,Live
G0ROZ,Live
G0RPS,Terminated
G0RSE,Live
G0RSG,Live
G0RSR,Live
G0RVC,Terminated
G0RWG,Surrendered
G0RYC,Live
G0RYS,Live
G0SAC,Live
G0SAR,Live
G0SAS,Live
G0SBM,Live
G0SCO,Live
G0SCR,Live
G0SDC,Live
G0SDR,Surrendered
G0SDX,Live
G0SEA,Live
G0SEP,Live
G0SEV,Live
G0SIG,Live
G0SOA,Live
G0SOA,Surrendered
G0SP,Live
G0SPM,Terminated
G0SQA,Terminated
G0SRC,Live
G0SRC,Surrendered
G0SRG,Live
G0SRS,Terminated
G0STB,Live
G0STH,Live
G0SWN,Live
G0SWV,Live
G0SWV,Terminated
G0SYG,Live
G0TAY,Live
G0TFB,Live
G0TKU,Surrendered
G0TON,Terminated
G0TOW,Live
G0TPC,Live
G0TRC,Live
G0TRG,Live
G0TRG,Surrendered
G0TRG,Surrendered
G0TRG,Terminated
G0TSN,Surrendered
G0TWD,Live
G0UEG,Live
G0UEW,Live
G0UKR,Live
G0UKT,Live
G0UMV,Live
G0UOP,Live
G0URN,Live
G0UTT,Live
G0UWT,Terminated
G0UYM,Live
G0VGH,Terminated
G0VHF,Live
G0VJS,Live
G0VKG,Live
G0VLR,Live
G0VPE,Live
G0VPR,Live
G0VSM,Live
G0VUX,Live
G0VVX,Live
G0VYG,Live
G0WBS,Live
G0WDX,Live
G0WEE,Live
G0WIH,Surrendered
G0WKQ,Live
G0WOI,Live
G0WPX,Live
G0WRC,Live
G0WRM,Live
G0WRS,Live
G0WSM,Live
G0WSM,Surrendered
G0WSR,Live
G0WSS,Live
G0WXW,Live
G0XAA,Live
G0XCW,Terminated
G0XRC,Live
G0XRC,Surrendered
G0XXX,Live
G0XYZ,Live
G0YLO,Live
G0ZHP,Live
G1ATC,Live
G1BRS,Live
G1BZU,Live
G1COV,Live
G1CSR,Live
G1DHE,Live
G1DIF,Live
G1DSP,Live
G1EME,Live
G1FCW,Live
G1FRS,Live
G1FYQ,Live
G1GHZ,Live
G1HHH,Live
G1IOM,Live
G1KAR,Live
G1KOP,Live
G1LCR,Live
G1MAD,Live
G1MAR,Live
G1MBR,Live
G1MCR,Live
G1MDG,Live
G1MDG,Surrendered
G1MKR,Live
G1MQC,Live
G1NCR,Live
G1NET,Live
G1NRG,Live
G1NRS,Live
G1NRS,Surrendered
G1ONE,Live
G1ORC,Live
G1RAF,Live
G1RAF,Terminated
G1RCD,Live
G1RCT,Live
G1RCV,Live
G1RFH,Live
G1RFH,Surrendered
G1RMC,Live
G1SAN,Live
G1SAR,Live
G1SAT,Live
G1SCR,Live
G1SCR,Terminated
G1SEH,Live
G1SEH,Surrendered
G1SSR,Live
G1SVR,Live
G1SWR,Live
G1SWR,Terminated
G1THF,Live
G1URG,Live
G1WAB,Live
G1WAC,Live
G1WAC,Surrendered
G1WAW,Live
G1WCY,Live
G1WFR,Terminated
G1WGR,Live
G1WKS,Live
G1WOR,Live
G1WRC,Live
G1WRN,Live
G1WRS,Live
G1WRS,Terminated
G1WVR,Live
G1XIC,Live
G1XIC,Surrendered
G1XOI,Live
G1XYZ,Live
G1YRC,Live
G1YYY,Live
G1ZMS,Live
G1ZMS,Surrendered
G1ZMS,Surrendered
G1ZUU,Live
G2AA,Live
G2AA,Surrendered
G2AD,Live
G2AP,Live
G2AS,Live
G2ASF,Live
G2ASF,Terminated
G2BBC,Live
G2BC,Live
G2BQY,Live
G2BQY,Surrendered
G2BRS,Live
G2BX,Live
G2CP,Live
G2CP,Terminated
G2CR,Live
G2CWO,Live
G2DA,Live
G2DJ,Live
G2DP,Live
G2DPQ,Live
G2DWC,Live
G2DX,Live
G2DX,Surrendered
G2EC,Live
G2FA,Live
G2FJA,Live
G2FKO,Live
G2FKZ,Live
G2FKZ,Surrendered
G2FM,Live
G2FOF,Live
G2HC,Live
G2HDF,Live
G2HR,Live
G2HR,Surrendered
G2HS,Live
G2HW,Live
G2HX,Live
G2LL,Live
G2LO,Live
G2LV,Live
G2LW,Live
G2ML,Live
G2MP,Live
G2MT,Live
G2NM,Live
G2NM,Surrendered
G2NM,Surrendered
G2OA,Live
G2OP,Live
G2OT,Live
G2OT,Surrendered
G2OU,Live
G2PY,Live
G2SR,Live
G2SU,Live
G2TO,Live
G2TO,Surrendered
G2TV,Live
G2TV,Surrendered
G2UG,Live
G2XP,Live
G2XV,Live
G2XV,Surrendered
G2ZE,Live
G3AFT,Surrendered
G3AH,Live
G3AH,Surrendered
G3AHD,Live
G3AKF,Live
G3AMW,Live
G3AMW,Surrendered
G3ASR,Live
G3ASR,Terminated
G3ASW,Live
G3ATC,Live
G3AYC,Terminated
G3BMR,Surrendered
G3BPK,Live
G3BRK,Live
G3BRS,Live
G3BRS,Surrendered
G3BSA,Live
G3BSQ,Live
G3BSQ,Live
G3BXF,Live
G3BXF,Terminated
G3BZU,Live
G3CAR,Live
G3CF,Live
G3CFH,Live
G3CIO,Live
G3CMH,Live
G3CNO,Live
G3CNX,Live
G3CNX,Surrendered
G3CO,Live
G3CRC,Live
G3CRS,Live
G3CSA,Live
G3CSR,Live
G3CXX,Live
G3CZU,Live
G3DDI,Live
G3DIT,Live
G3DQW,Live
G3DR,Live
G3DVC,Surrendered
G3DX,Live
G3EEO,Live
G3EEZ,Live
G3EFX,Live
G3EKL,Live
G3EKT,Live
G3EKT,Surrendered
G3EKW,Live
G3ELV,Live
G3ERD,Live
G3ESP,Live
G3ESP,Surrendered
G3ESP,Terminated
G3EUG,Surrendered
G3FFF,Live
G3FJE,Live
G3FLH,Live
G3FVA,Live
G3FYQ,Live
G3GBU,Live
G3GBZ,Live
G3GEI,Live
G3GFA,Live
G3GG,Surrendered
G3GHN,Live
G3GIZ,Live
G3GIZ,Surrendered
G3GJL,Live
G3GQC,Live
G3GRS,Live
G3GWB,Live
G3GXI,Live
G3HAM,Live
G3HFN,Live
G3HFY,Terminated
G3HIU,Live
G3HOX,Terminated
G3HWF,Live
G3HWF,Terminated
G3HWW,Live
G3HWW,Surrendered
G3HXZ,Surrendered
G3IGQ,Live
G3IGQ,Surrendered
G3IGQ,Terminated
G3IT,Live
G3IUB,Live
G3IW,Live
G3JDY,Live
G3JEV,Live
G3JFG,Live
G3JRM,Live
G3KAC,Live
G3KC,Live
G3KJO,Live
G3KMI,Live
G3KPO,Live
G3KQB,Live
G3KUE,Live
G3LPC,Live
G3LRC,Live
G3LRS,Live
G3LRS,Surrendered
G3LUK,Live
G3LUN,Live
G3LX,Live
G3MAR,Live
G3MDG,Live
G3MDG,Surrendered
G3MMH,Live
G3MPD,Live
G3MQI,Live
G3NAT,Live
G3NDX,Live
G3NFC,Live
G3NGZ,Live
G3NJA,Live
G3NJB,Live
G3NKJ,Live
G3NMD,Live
G3NWR,Live
G3NY,Live
G3OAP,Terminated
G3OHM,Live
G3OU,Live
G3OUR,Live
G3PIA,Live
G3PMH,Live
G3PPG,Live
G3PRC,Live
G3PSG,Live
G3PXK,Live
G3PXK,Surrendered
G3PYE,Live
G3PYU,Live
G3PYZ,Live
G3QI,Live
G3RAC,Live
G3RAF,Live
G3RAL,Live
G3RCM,Live
G3RCM,Surrendered
G3RCV,Live
G3RCW,Live
G3RCW,Surrendered
G3RDB,Live
G3RE,Live
G3RE,Surrendered
G3ROQ,Live
G3RR,Live
G3RRS,Live
G3RSC,Live
G3RSS,Live
G3SAD,Live
G3SAD,Terminated
G3SBL,Live
G3SCT,Live
G3SDC,Live
G3SDS,Live
G3SFG,Live
G3SIG,Live
G3SKY,Live
G3SOU,Live
G3SPY,Live
G3SRA,Live
G3SRC,Live
G3SRT,Live
G3SSO,Live
G3STD,Terminated
G3SVC,Live
G3SVJ,Live
G3SVR,Live
G3SWM,Live
G3SZ,Live
G3TCQ,Live
G3TCR,Live
G3TEI,Live
G3TEN,Terminated
G3TKV,Live
G3TKV,Surrendered
G3TKV,Terminated
G3TRF,Live
G3TRY,Live
G3TSC,Live
G3TVS,Surrendered
G3UCL,Live
G3UDN,Live
G3UES,Live
G3UHF,Live
G3UKC,Live
G3ULT,Live
G3UOA,Live
G3URI,Live
G3USL,Live
G3UVC,Live
G3UVW,Live
G3UWS,Live
G3VEF,Live
G3VER,Live
G3VFW,Terminated
G3VGG,Live
G3VGG,Surrendered
G3VKK,Live
G3VKL,Live
G3VLG,Live
G3VRE,Live
G3VRE,Surrendered
G3VXX,Live
G3WAS,Live
G3WEC,Terminated
G3WGC,Surrendered
G3WIM,Live
G3WIM,Surrendered
G3WIN,Live
G3WIR,Live
G3WIR,Terminated
G3WKS,Live
G3WKS,Terminated
G3WKX,Live
G3WKX,Surrendered
G3WM,Live
G3WMU,Live
G3WMU,Surrendered
G3WMU,Terminated
G3WO,Surrendered
G3WOF,Live
G3WOR,Live
G3WOR,Terminated
G3WQK,Live
G3WRS,Live
G3WRS,Surrendered
G3WRS,Terminated
G3WSC,Live
G3WSC,Surrendered
G3WTP,Live
G3WTP,Surrendered
G3XBF,Live
G3XEJ,Surrendered
G3XEP,Live
G3XG,Live
G3XNO,Live
G3XRE,Live
G3XRN,Live
G3XRQ,Live
G3XRQ,Surrendered
G3XRT,Terminated
G3XYZ,Live
G3YDD,Live
G3YIR,Live
G3YMD,Live
G3YMD,Surrendered
G3YNN,Surrendered
G3YRC,Live
G3YSC,Live
G3ZBI,Live
G3ZCM,Terminated
G3ZET,Live
G3ZME,Live
G3ZMS,Live
G3ZMS,Surrendered
G3ZMS,Surrendered
G3ZQM,Live
G3ZQM,Terminated
G3ZQS,Live
G3ZRX,Live
G3ZSK,Live
G3ZSK,Surrendered
G3ZTT,Live
G4AAF,Live
G4AAF,Surrendered
G4AAR,Live
G4AAX,Live
G4ACF,Live
G4ADV,Live
G4AGG,Live
G4AHG,Live
G4ALE,Live
G4ANT,Live
G4APD,Live
G4APN,Terminated
G4AQG,Live
G4ARC,Live
G4ARE,Live
G4ARE,Surrendered
G4ARF,Live
G4ARG,Live
G4ARN,Live
G4ARS,Live
G4ATG,Live
G4ATH,Live
G4AYK,Live
G4AYM,Live
G4AYM,Surrendered
G4AZZ,Live
G4BAS,Live
G4BBX,Terminated
G4BCV,Live
G4BJC,Live
G4BP,Live
G4BPO,Live
G4BPQ,Live
G4BRA,Live
G4BRC,Live
G4BRN,Live
G4BRS,Live
G4BTS,Live
G4BTS,Surrendered
G4BUX,Live
G4BWC,Live
G4BWD,Live
G4CAA,Live
G4CC,Live
G4CC,Surrendered
G4CCF,Live
G4CDD,Live
G4CES,Live
G4CMT,Live
G4CPS,Terminated
G4CRC,Live
G4CRS,Live
G4CVK,Live
G4CW,Live
G4DAA,Live
G4DAA,Surrendered
G4DAR,Live
G4DDC,Live
G4DSP,Live
G4DSP,Surrendered
G4EAF,Live
G4ECT,Surrendered
G4EHW,Live
G4EHW,Surrendered
G4EHW,Surrendered
G4EKT,Live
G4ELR,Live
G4ELR,Surrendered
G4ETW,Live
G4EUZ,Live
G4EUZ,Terminated
G4EZW,Live
G4EZW,Surrendered
G4FBS,Live
G4FF,Live
G4FFF,Live
G4FOC,Live
G4FOC,Surrendered
G4FOX,Live
G4FRS,Live
G4FUH,Live
G4FUH,Surrendered
G4FUH,Surrendered
G4FUR,Live
G4FWC,Live
G4GA,Live
G4GCT,Live
G4GFL,Live
G4GM,Live
G4GM,Surrendered
G4GQR,Live
G4GRC,Live
G4GRG,Live
G4GTC,Live
G4GTY,Live
G4GXK,Live
G4GXP,Surrendered
G4GZ,Live
G4GZ,Surrendered
G4HAA,Surrendered
G4HAM,Live
G4HEL,Live
G4HKO,Live
G4HLL,Live
G4HMS,Live
G4HMS,Surrendered
G4HRC,Live
G4HRS,Live
G4HRV,Live
G4HTV,Live
G4HVN,Surrendered
G4HVP,Terminated
G4HVV,Live
G4HXX,Live
G4IBC,Live
G4ICM,Live
G4IOM,Live
G4ION,Live
G4IRC,Live
G4IXL,Live
G4JAR,Live
G4JBC,Live
G4JPS,Live
G4JS,Live
G4JYN,Live
G4KHS,Live
G4KPT,Live
G4KPT,Surrendered
G4LAB,Live
G4LAD,Live
G4LBM,Live
G4LBS,Live
G4LEQ,Surrendered
G4LFO,Terminated
G4LIP,Live
G4LMR,Live
G4LNP,Surrendered
G4LOW,Terminated
G4LWZ,Live
G4LYW,Surrendered
G4LZP,Live
G4MBC,Live
G4MDF,Live
G4MFL,Live
G4MFT,Live
G4MGR,Live
G4MHC,Live
G4MM,Live
G4MRS,Live
G4MRV,Live
G4MWC,Live
G4MWS,Live
G4NEL,Live
G4NHT,Live
G4NID,Live
G4NOK,Live
G4NRC,Live
G4NRK,Live
G4NRQ,Live
G4NWR,Live
G4NXO,Live
G4ODR,Live
G4OHM,Live
G4OMA,Live
G4ONP,Live
G4OO,Live
G4ORC,Live
G4PAG,Live
G4PFQ,Live
G4PQL,Live
G4PRS,Live
G4PSG,Live
G4PTU,Live
G4PUB,Live
G4RAF,Live
G4RAF,Surrendered
G4RBV,Live
G4RBV,Terminated
G4RCC,Live
G4RDL,Live
G4RFR,Live
G4RGM,Live
G4RGY,Live
G4RIV,Live
G4RMS,Live
G4RS,Live
G4RSB,Live
G4RSB,Terminated
G4RSC,Live
G4RSE,Live
G4RSE,Surrendered
G4SAT,Live
G4SGR,Live
G4SIV,Live
G4SIW,Live
G4SJM,Live
G4SJW,Live
G4SKM,Live
G4SKM,Terminated
G4SME,Live
G4SPA,Live
G4SRB,Live
G4SRC,Terminated
G4SRG,Live
G4SRG,Surrendered
G4SRS,Live
G4SSD,Live
G4STR,Live
G4STV,Live
G4SZV,Live
G4TSW,Live
G4TTA,Live
G4TTF,Live
G4TUI,Terminated
G4URZ,Live
G4USD,Live
G4VER,Live
G4VIP,Live
G4VKY,Live
G4VKY,Terminated
G4VRS,Live
G4VRS,Terminated
G4WAB,Live
G4WAC,Live
G4WAC,Surrendered
G4WAW,Live
G4WAW,Terminated
G4WBC,Live
G4WCG,Terminated
G4WDR,Live
G4WET,Live
G4WRA,Live
G4WRC,Live
G4WSM,Live
G4WVO,Live
G4WVO,Terminated
G4WVR,Live
G4WWR,Live
G4WXM,Live
G4XLB,Live
G4XXG,Live
G4XXG,Surrendered
G4YBS,Live
G4YCT,Live
G4YCT,Surrendered
G4YEQ,Live
G4YGW,Live
G4YNL,Live
G4YRC,Live
G4YRC,Surrendered
G4ZAJ,Live
G4ZAP,Live
G4ZDA,Terminated
G4ZFR,Live
G4ZGP,Terminated
G4ZTT,Terminated
G4ZU,Live
G5BK,Live
G5CH,Live
G5CH,Surrendered
G5DX,Live
G5DXC,Live
G5DXG,Surrendered
G5EA,Live
G5FS,Live
G5FZ,Live
G5JJ,Live
G5JJ,Surrendered
G5JNJ,Live
G5KN,Live
G5KN,Surrendered
G5KW,Live
G5LB,Live
G5LK,Live
G5LO,Live
G5LO,Surrendered
G5LOW,Live
G5MS,Live
G5MW,Live
G5NG,Live
G5NI,Live
G5OD,Live
G5PI,Live
G5QK,Live
G5RC,Live
G5ROC,Live
G5RP,Live
G5RR,Live
G5RS,Live
G5RV,Live
G5RV,Surrendered
G5TO,Live
G5UM,Live
G5UM,Surrendered
G5VG,Live
G5VU,Live
G5XV,Live
G5XV,Terminated
G5XX,Live
G5YC,Live
G5ZG,Live
G6AEN,Live
G6AJ,Live
G6ARC,Live
G6BCS,Terminated
G6BK,Live
G6BRA,Live
G6BRC,Live
G6BRH,Live
G6BRS,Surrendered
G6BSE,Live
G6BUT,Live
G6BV,Live
G6COL,Live
G6CRC,Live
G6CTC,Live
G6CW,Live
G6CW,Surrendered
G6EKT,Live
G6ELR,Live
G6FOX,Live
G6FRS,Live
G6FS,Live
G6GEC,Live
G6GEC,Terminated
G6GLO,Live
G6GLO,Surrendered
G6GLR,Live
G6GMR,Live
G6GRG,Live
G6GRG,Terminated
G6GS,Live
G6GSR,Live
G6GW,Live
G6HCT,Live
G6HH,Live
G6HL,Live
G6IA,Live
G6IPU,Live
G6IVR,Live
G6KRC,Surrendered
G6LD,Live
G6LI,Live
G6MBR,Live
G6MC,Live
G6MD,Live
G6MHY,Live
G6NDS,Live
G6NRC,Live
G6NRC,Terminated
G6NSY,Live
G6NVT,Live
G6NWR,Live
G6NX,Live
G6OI,Live
G6PNB,Live
G6PYE,Live
G6QM,Live
G6RAF,Live
G6RC,Live
G6RSE,Live
G6RSE,Surrendered
G6RST,Live
G6SFR,Live
G6SRS,Live
G6SW,Live
G6TKY,Live
G6TM,Live
G6TRG,Live
G6TW,Live
G6TWB,Live
G6UQ,Live
G6UT,Live
G6UT,Surrendered
G6UT,Terminated
G6UW,Live
G6VGG,Live
G6WAR,Live
G6WMR,Live
G6WRC,Live
G6WRG,Surrendered
G6WWR,Live
G6XN,Live
G6XPJ,Terminated
G6XRS,Live
G6XRS,Surrendered
G6XX,Live
G6YB,Live
G6YDD,Live
G6YM,Live
G6YM,Surrendered
G6ZC,Live
G6ZG,Live
G6ZME,Live
G6ZME,Surrendered
G6ZTT,Live
G6ZZZ,Live
G7AEA,Live
G7AEB,Live
G7AEC,Live
G7AED,Live
G7AED,Surrendered
G7AEE,Live
G7AEF,Live
G7AEG,Live
G7AEH,Live
G7AGR,Live
G7APD,Live
G7ASF,Live
G7ASF,Terminated
G7AXC,Live
G7BAI,Terminated
G7BBC,Live
G7BMS,Live
G7BPO,Live
G7BRC,Live
G7BRC,Surrendered
G7BSG,Live
G7BTC,Live
G7BTI,Live
G7CCR,Live
G7CMN,Live
G7CRG,Live
G7CRS,Live
G7CSV,Live
G7CTA,Live
G7CTA,Surrendered
G7DOL,Live
G7DOR,Live
G7DOR,Terminated
G7EAR,Live
G7EBR,Live
G7ECL,Live
G7ECU,Live
G7ECU,Surrendered
G7ELR,Live
G7EME,Live
G7ERC,Live
G7ERN,Terminated
G7ERO,Live
G7EUG,Surrendered
G7FAR,Live
G7FCR,Live
G7FOX,Live
G7FRC,Live
G7GAN,Live
G7GLR,Live
G7GNL,Live
G7GRC,Live
G7GRC,Terminated
G7GWM,Live
G7HAH,Live
G7HMS,Live
G7HMS,Surrendered
G7HOA,Live
G7HRR,Live
G7ILJ,Live
G7JET,Terminated
G7JOA,Live
G7JST,Live
G7KRC,Live
G7KRG,Live
G7KRS,Live
G7LEN,Live
G7LEY,Live
G7LRG,Terminated
G7MAN,Live
G7MDR,Live
G7MDR,Terminated
G7MEX,Live
G7MNL,Live
G7MRG,Live
G7MUD,Live
G7NAR,Live
G7NCT,Live
G7NLR,Live
G7NMB,Live
G7NSR,Live
G7NWR,Live
G7NWR,Terminated
G7NYP,Live
G7OOO,Live
G7OPS,Live
G7ORE,Live
G7OSH,Live
G7OSH,Surrendered
G7PEC,Live
G7PEC,Terminated
G7RAF,Live
G7RAF,Surrendered
G7RAF,Terminated
G7RAL,Live
G7RAT,Live
G7RDT,Live
G7RDT,Surrendered
G7REF,Live
G7RFC,Live
G7RFC,Terminated
G7RIH,Surrendered
G7RLS,Live
G7RMS,Terminated
G7RMW,Live
G7RMZ,Live
G7RNA,Live
G7RNN,Live
G7RRC,Live
G7RTL,Live
G7SAC,Live
G7SBV,Live
G7SBV,Terminated
G7SCC,Live
G7SCC,Terminated
G7SCR,Live
G7SER,Live
G7SEZ,Terminated
G7SIC,Live
G7SKC,Live
G7SKI,Live
G7SNE,Terminated
G7SNR,Live
G7SRA,Live
G7SRA,Surrendered
G7SRC,Live
G7SRG,Live
G7SRG,Surrendered
G7TCH,Live
G7TYR,Live
G7UCC,Live
G7UGF,Live
G7UQG,Live
G7VHF,Live
G7VLR,Live
G7WAB,Live
G7WAC,Live
G7WOS,Surrendered
G7WRG,Live
G7XWH,Terminated
G8AHK,Live
G8AHK,Surrendered
G8AHK,Terminated
G8BBC,Live
G8BUX,Live
G8CA,Live
G8CAR,Live
G8CLZ,Live
G8CQA,Live
G8CSA,Live
G8CSA,Surrendered
G8CW,Live
G8DD,Live
G8DDC,Live
G8DWL,Surrendered
G8EAM,Live
G8EDJ,Live
G8ELR,Live
G8EVY,Live
G8EVY,Surrendered
G8FAB,Live
G8FC,Live
G8FC,Surrendered
G8FOT,Live
G8GBY,Live
G8GBY,Surrendered
G8GCC,Live
G8GIZ,Live
G8GPO,Live
G8HRC,Live
G8IB,Live
G8IOM,Surrendered
G8IUB,Live
G8IZB,Live
G8JC,Live
G8JTD,Live
G8JYN,Live
G8KGC,Live
G8KGC,Surrendered
G8KMK,Live
G8LED,Live
G8LVQ,Live
G8LWS,Live
G8MKC,Live
G8MWA,Live
G8NED,Live
G8NIS,Live
G8NJA,Live
G8NP,Live
G8NRS,Surrendered
G8OHM,Live
G8OTS,Surrendered
G8PIR,Live
G8PRC,Live
G8PRU,Live
G8PRU,Surrendered
G8PRU,Surrendered
G8PX,Live
G8PX,Surrendered
G8QR,Live
G8RAF,Live
G8RAF,Surrendered
G8RFN,Live
G8RVT,Live
G8SAL,Live
G8SDS,Live
G8SMR,Live
G8SRC,Live
G8SRS,Live
G8SSS,Live
G8STD,Live
G8TA,Live
G8TNK,Terminated
G8TRG,Live
G8TRS,Surrendered
G8VC,Live
G8VER,Live
G8VHF,Live
G8VL,Live
G8VYK,Live
G8WDC,Live
G8WGP,Live
G8WIM,Live
G8WKL,Live
G8WQ,Live
G8WRG,Live
G8WSM,Live
G8WSR,Live
G8WSX,Live
G8WY,Live
G8WYR,Live
G8XAA,Live
G8YEO,Live
G8YEO,Terminated
G8ZHP,Live
G8ZK,Live
G8ZTT,Live
G8ZYC,Live
M0AAA,Live
M0AAL,Surrendered
M0AAL,Surrendered
M0AAT,Surrendered
M0ABU,Surrendered
M0ACE,Live
M0ACH,Live
M0ACW,Live
M0ADI,Live
M0ADJ,Live
M0AFL,Live
M0AIK,Live
M0AJB,Live
M0AKU,Live
M0AKU,Terminated
M0AKX,Live
M0APF,Live
M0AQW,Live
M0ARC,Live
M0ATC,Live
M0ATS,Live
M0AVI,Live
M0BAA,Live
M0BB,Live
M0BBC,Terminated
M0BCQ,Live
M0BEE,Live
M0BGV,Live
M0BNS,Live
M0BPJ,Live
M0BPK,Live
M0BPK,Terminated
M0BRA,Live
M0BRS,Terminated
M0BYL,Live
M0BYL,Terminated
M0CAM,Live
M0CBB,Terminated
M0CCG,Surrendered
M0CDX,Surrendered
M0CEP,Live
M0CGG,Terminated
M0CKY,Terminated
M0CMU,Terminated
M0CNS,Live
M0CPS,Live
M0CQI,Terminated
M0CRG,Live
M0CYB,Live
M0DEB,Live
M0DEI,Live
M0DGR,Live
M0DID,Live
M0DLI,Live
M0DON,Live
M0DOZ,Live
M0DRM,Live
M0DTL,Live
M0DTQ,Live
M0DX,Live
M0DXK,Live
M0DXK,Surrendered
M0DYY,Surrendered
M0EAR,Live
M0ECK,Live
M0ECR,Live
M0ECW,Live
M0ECW,Terminated
M0EEE,Live
M0EGC,Live
M0EGC,Surrendered
M0EHF,Live
M0EHF,Terminated
M0EPC,Live
M0ERG,Live
M0ESG,Live
M0ESP,Live
M0ESR,Live
M0EVG,Live
M0EVS,Terminated
M0FNR,Live
M0FRC,Live
M0FTR,Live
M0GBB,Live
M0GBQ,Surrendered
M0GBU,Live
M0GBY,Live
M0GEY,Live
M0GFA,Live
M0GFE,Live
M0GGP,Live
M0GKK,Live
M0GKL,Live
M0GKL,Surrendered
M0GLK,Live
M0GND,Live
M0GOU,Terminated
M0GPF,Live
M0GPF,Surrendered
M0GQO,Live
M0GRX,Live
M0GSB,Terminated
M0GSG,Live
M0GTF,Live
M0GTZ,Live
M0GUA,Terminated
M0GUQ,Live
M0GVC,Live
M0GVG,Live
M0GVP,Live
M0GWG,Surrendered
M0GYQ,Live
M0GYR,Live
M0GZD,Live
M0GZI,Live
M0GZN,Surrendered
M0GZN,Terminated
M0GZU,Live
M0HAV,Live
M0HAW,Live
M0HBA,Live
M0HBG,Terminated
M0HCR,Live
M0HCY,Live
M0HDC,Live
M0HDG,Live
M0HDO,Live
M0HDS,Live
M0HFC,Live
M0HFE,Live
M0HFI,Live
M0HFP,Live
M0HFW,Live
M0HGC,Live
M0HHT,Surrendered
M0HIB,Live
M0HIC,Live
M0HIF,Live
M0HIJ,Live
M0HIN,Live
M0HIP,Live
M0HJC,Live
M0HJC,Surrendered
M0HJK,Surrendered
M0HJM,Live
M0HJS,Live
M0HKF,Terminated
