Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag,Call Sign Application #,MMSI Application #
M,0,ILO,M0ILO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILP,M0ILP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILQ,M0ILQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILR,M0ILR,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILU,M0ILU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILV,M0ILV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILW,M0ILW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILX,M0ILX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILY,M0ILY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ILZ,M0ILZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMB,M0IMB,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMF,M0IMF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMG,M0IMG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMH,M0IMH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMK,M0IMK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMN,M0IMN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMO,M0IMO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMQ,M0IMQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMU,M0IMU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMV,M0IMV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMX,M0IMX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMY,M0IMY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IMZ,M0IMZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INC,M0INC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INE,M0INE,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ING,M0ING,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INH,M0INH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INJ,M0INJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INL,M0INL,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INM,M0INM,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INO,M0INO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INQ,M0INQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INR,M0INR,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INU,M0INU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INW,M0INW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INX,M0INX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,INZ,M0INZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOA,M0IOA,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOE,M0IOE,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOF,M0IOF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOG,M0IOG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOH,M0IOH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOJ,M0IOJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOO,M0IOO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOP,M0IOP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOQ,M0IOQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOS,M0IOS,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOV,M0IOV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOX,M0IOX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IOZ,M0IOZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPB,M0IPB,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPE,M0IPE,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPF,M0IPF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPG,M0IPG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPH,M0IPH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPI,M0IPI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPJ,M0IPJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPK,M0IPK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPL,M0IPL,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPM,M0IPM,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPN,M0IPN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPO,M0IPO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPP,M0IPP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPQ,M0IPQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPT,M0IPT,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPV,M0IPV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPW,M0IPW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPY,M0IPY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IPZ,M0IPZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQA,M0IQA,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQC,M0IQC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQD,M0IQD,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQE,M0IQE,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQF,M0IQF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQG,M0IQG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQH,M0IQH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQI,M0IQI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQJ,M0IQJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQK,M0IQK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQL,M0IQL,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQM,M0IQM,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQN,M0IQN,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQO,M0IQO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQP,M0IQP,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQQ,M0IQQ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQR,M0IQR,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQS,M0IQS,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQT,M0IQT,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQU,M0IQU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQV,M0IQV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQW,M0IQW,Call Sign,Amateur Full Radio Licence,Available,N,,
