callsign,event,event_date
M0HMJ,reciprocal-licence-issued,2013-10-02 23:00:00
M0HMK,reciprocal-licence-issued,2013-10-08 23:00:00
M0THO,reciprocal-licence-issued,2013-10-10 23:00:00
M0TGL,reciprocal-licence-issued,2013-10-30
M0TLG,reciprocal-licence-issued,2013-10-31
M0SDI,reciprocal-licence-issued,2013-11-07
M0IAG,reciprocal-licence-issued,2013-11-11
M0PPE,reciprocal-licence-issued,2013-11-19
M0PPA,reciprocal-licence-issued,2013-11-20
M0YGM,reciprocal-licence-issued,2013-12-03
M0HMZ,reciprocal-licence-issued,2013-12-04
M0HSF,reciprocal-licence-issued,2013-12-04
M0HNO,reciprocal-licence-issued,2013-12-23
M0HNP,reciprocal-licence-issued,2014-01-03
M0YUI,reciprocal-licence-issued,2014-01-14
M0HNR,reciprocal-licence-issued,2014-01-15
M0OJX,reciprocal-licence-issued,2014-01-20
M0WTH,reciprocal-licence-issued,2014-01-21
M0KVL,reciprocal-licence-issued,2014-01-21
M0IEI,reciprocal-licence-issued,2014-01-30
M0HNY,reciprocal-licence-issued,2014-02-04
M0HNZ,reciprocal-licence-issued,2014-02-07
M0HOF,reciprocal-licence-issued,2014-02-12
M0IKL,reciprocal-licence-issued,2014-03-03
M0HOJ,reciprocal-licence-issued,2014-03-03
M0TUN,reciprocal-licence-issued,2014-03-06
M0KSW,reciprocal-licence-issued,2014-03-12
M0HOV,reciprocal-licence-issued,2014-03-12
M0HOZ,reciprocal-licence-issued,2014-03-25
M0HPA,reciprocal-licence-issued,2014-03-25
M0HPI,reciprocal-licence-issued,2014-04-27 23:00:00
M0ILB,reciprocal-licence-issued,2014-04-29 23:00:00
M0HQA,reciprocal-licence-issued,2014-05-26 23:00:00
M0HQB,reciprocal-licence-issued,2014-05-29 23:00:00
M0HQD,reciprocal-licence-issued,2014-05-29 23:00:00
M0SDU,reciprocal-licence-issued,2014-06-02 23:00:00
M0MEI,reciprocal-licence-issued,2014-06-23 23:00:00
M0WNH,reciprocal-licence-issued,2014-06-30 23:00:00
M0VIA,reciprocal-licence-issued,2014-07-07 23:00:00
M0HQX,reciprocal-licence-issued,2014-07-16 23:00:00
M0HUA,reciprocal-licence-issued,2014-07-22 23:00:00
M0HRI,reciprocal-licence-issued,2014-07-31 23:00:00
M0SGO,reciprocal-licence-issued,2014-08-06 23:00:00
M0HRJ,reciprocal-licence-issued,2014-08-10 23:00:00
M0HRK,reciprocal-licence-issued,2014-08-13 23:00:00
M0HRX,reciprocal-licence-issued,2014-09-15 23:00:00
M0PLO,reciprocal-licence-issued,2014-09-21 23:00:00
M0LYQ,reciprocal-licence-issued,2014-09-28 23:00:00
M0KUY,reciprocal-licence-issued,2014-10-12 23:00:00
M0HSE,reciprocal-licence-issued,2014-10-16 23:00:00
M0HSK,reciprocal-licence-issued,2014-10-28
M0WCK,reciprocal-licence-issued,2014-10-30
M0XST,reciprocal-licence-issued,2014-11-25
M0HSQ,reciprocal-licence-issued,2014-12-05
M0KBW,reciprocal-licence-issued,2014-12-10
M0SZA,reciprocal-licence-issued,2014-12-12
M0MCU,reciprocal-licence-issued,2014-12-12
M0HTP,reciprocal-licence-issued,2015-01-02
M0HTQ,reciprocal-licence-issued,2015-01-06
M0HTU,reciprocal-licence-issued,2015-01-20
M0HTT,reciprocal-licence-issued,2015-01-20
M0MVO,reciprocal-licence-issued,2015-01-26
M0SIS,reciprocal-licence-issued,2015-01-28
M0HTW,reciprocal-licence-issued,2015-01-30
M0WQX,reciprocal-licence-issued,2015-02-13
M0HUK,reciprocal-licence-issued,2015-02-13
M0VKA,reciprocal-licence-issued,2015-02-25
M0HUV,reciprocal-licence-issued,2015-03-02
M0ZJV,reciprocal-licence-issued,2015-03-03
M0NFN,reciprocal-licence-issued,2015-03-03
G4HOI,reciprocal-licence-issued,2015-03-06
M0HUW,reciprocal-licence-issued,2015-03-09
M0HVI,reciprocal-licence-issued,2015-03-26
M0AOZ,reciprocal-licence-issued,2015-03-27
M0HVJ,reciprocal-licence-issued,2015-03-27
M0AZI,reciprocal-licence-issued,2015-04-09 23:00:00
M0PCE,reciprocal-licence-issued,2015-04-23 23:00:00
M0HVN,reciprocal-licence-issued,2015-04-23 23:00:00
M0HVM,reciprocal-licence-issued,2015-04-30 23:00:00
M0ZRG,reciprocal-licence-issued,2015-04-30 23:00:00
M0INN,reciprocal-licence-issued,2015-05-10 23:00:00
M0HVT,reciprocal-licence-issued,2015-05-26 23:00:00
M0HVY,reciprocal-licence-issued,2015-06-11 23:00:00
M0HVZ,reciprocal-licence-issued,2015-06-14 23:00:00
M0HWE,reciprocal-licence-issued,2015-06-18 23:00:00
M0JFP,reciprocal-licence-issued,2015-06-22 23:00:00
M0HWG,reciprocal-licence-issued,2015-06-25 23:00:00
M0KOA,reciprocal-licence-issued,2015-06-30 23:00:00
M0HWI,reciprocal-licence-issued,2015-07-07 23:00:00
M0HWJ,reciprocal-licence-issued,2015-07-08 23:00:00
M0HWW,reciprocal-licence-issued,2015-07-20 23:00:00
M0LFR,reciprocal-licence-issued,2015-07-30 23:00:00
M0RDE,reciprocal-licence-issued,2015-08-02 23:00:00
M0HWX,reciprocal-licence-issued,2015-08-03 23:00:00
M0HXC,reciprocal-licence-issued,2015-08-11 23:00:00
M0HXK,reciprocal-licence-issued,2015-09-24 23:00:00
M0HXM,reciprocal-licence-issued,2015-10-05 23:00:00
M0HXS,reciprocal-licence-issued,2015-11-17
M0LPK,reciprocal-licence-issued,2015-12-02
M0HXU,reciprocal-licence-issued,2015-12-02
M0HXW,reciprocal-licence-issued,2015-12-07
M0HXY,reciprocal-licence-issued,2015-12-09
M0HXZ,reciprocal-licence-issued,2015-12-11
M0HYB,reciprocal-licence-issued,2015-12-16
M0WJN,reciprocal-licence-issued,2015-12-22
M0HYQ,reciprocal-licence-issued,2016-01-04
M0IGA,reciprocal-licence-issued,2016-01-04
M0IHV,reciprocal-licence-issued,2016-01-15
M0USP,reciprocal-licence-issued,2016-01-15
M0HYY,reciprocal-licence-issued,2016-01-26
M0KYW,reciprocal-licence-issued,2016-01-27
M0HZF,reciprocal-licence-issued,2016-02-16
M0KUC,reciprocal-licence-issued,2016-02-16
M0TEV,reciprocal-licence-issued,2016-02-24
M0HZH,reciprocal-licence-issued,2016-02-24
M0HZQ,reciprocal-licence-issued,2016-03-03
M0RXM,reciprocal-licence-issued,2016-03-08
M0HZN,reciprocal-licence-issued,2016-03-16
M0KNC,reciprocal-licence-issued,2016-04-05 23:00:00
M0SLE,reciprocal-licence-issued,2016-04-05 23:00:00
M0HZV,reciprocal-licence-issued,2016-04-06 23:00:00
M0UKM,reciprocal-licence-issued,2016-04-06 23:00:00
M0IBK,reciprocal-licence-issued,2016-04-10 23:00:00
M0HZY,reciprocal-licence-issued,2016-04-25 23:00:00
M0SFI,reciprocal-licence-issued,2016-04-25 23:00:00
M0ORD,reciprocal-licence-issued,2016-05-12 23:00:00
M0IBB,reciprocal-licence-issued,2016-06-28 23:00:00
M0SRQ,reciprocal-licence-issued,2016-07-04 23:00:00
M0IBD,reciprocal-licence-issued,2016-07-10 23:00:00
M0WWB,reciprocal-licence-issued,2016-07-12 23:00:00
