callsign,cleaned,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20AKG,20AKG,parsed,20,,AKG,2#0AKG,,Intermediate,
20AKH,20AKH,parsed,20,,AKH,2#0AKH,,Intermediate,
20AKI,20AKI,parsed,20,,AKI,2#0AKI,,Intermediate,
20AKJ,20AKJ,parsed,20,,AKJ,2#0AKJ,,Intermediate,
20AKK,20AKK,parsed,20,,AKK,2#0AKK,,Intermediate,
20AKL,20AKL,parsed,20,,AKL,2#0AKL,,Intermediate,
20AKM,20AKM,parsed,20,,AKM,2#0AKM,,Intermediate,
20AKN,20AKN,parsed,20,,AKN,2#0AKN,,Intermediate,
20AKO,20AKO,parsed,20,,AKO,2#0AKO,,Intermediate,
20AKP,20AKP,parsed,20,,AKP,2#0AKP,,Intermediate,
20AKQ,20AKQ,parsed,20,,AKQ,2#0AKQ,,Intermediate,
20AKR,20AKR,parsed,20,,AKR,2#0AKR,,Intermediate,
20AKS,20AKS,parsed,20,,AKS,2#0AKS,,Intermediate,
20AKT,20AKT,parsed,20,,AKT,2#0AKT,,Intermediate,
20AKU,20AKU,parsed,20,,AKU,2#0AKU,,Intermediate,
20AKV,20AKV,parsed,20,,AKV,2#0AKV,,Intermediate,
20AKW,20AKW,parsed,20,,AKW,2#0AKW,,Intermediate,
20AKX,20AKX,parsed,20,,AKX,2#0AKX,,Intermediate,
20AKY,20AKY,parsed,20,,AKY,2#0AKY,,Intermediate,
20ALA,20ALA,parsed,20,,ALA,2#0ALA,,Intermediate,
20ALB,20ALB,parsed,20,,ALB,2#0ALB,,Intermediate,
20ALC,20ALC,parsed,20,,ALC,2#0ALC,,Intermediate,
20ALD,20ALD,parsed,20,,ALD,2#0ALD,,Intermediate,
20ALE,20ALE,parsed,20,,ALE,2#0ALE,,Intermediate,
20ALF,20ALF,parsed,20,,ALF,2#0ALF,,Intermediate,
20ALG,20ALG,parsed,20,,ALG,2#0ALG,,Intermediate,
20ALH,20ALH,parsed,20,,ALH,2#0ALH,,Intermediate,
20ALI,20ALI,parsed,20,,ALI,2#0ALI,,Intermediate,
20ALJ,20ALJ,parsed,20,,ALJ,2#0ALJ,,Intermediate,
20ALK,20ALK,parsed,20,,ALK,2#0ALK,,Intermediate,
20ALL,20ALL,parsed,20,,ALL,2#0ALL,,Intermediate,
20ALM,20ALM,parsed,20,,ALM,2#0ALM,,Intermediate,
20ALN,20ALN,parsed,20,,ALN,2#0ALN,,Intermediate,
20ALO,20ALO,parsed,20,,ALO,2#0ALO,,Intermediate,
20ALP,20ALP,parsed,20,,ALP,2#0ALP,,Intermediate,
20ALQ,20ALQ,parsed,20,,ALQ,2#0ALQ,,Intermediate,
20ALR,20ALR,parsed,20,,ALR,2#0ALR,,Intermediate,
20ALS,20ALS,parsed,20,,ALS,2#0ALS,,Intermediate,
20ALT,20ALT,parsed,20,,ALT,2#0ALT,,Intermediate,
20ALU,20ALU,parsed,20,,ALU,2#0ALU,,Intermediate,
20ALV,20ALV,parsed,20,,ALV,2#0ALV,,Intermediate,
20ALW,20ALW,parsed,20,,ALW,2#0ALW,,Intermediate,
20ALX,20ALX,parsed,20,,ALX,2#0ALX,,Intermediate,
20ALY,20ALY,parsed,20,,ALY,2#0ALY,,Intermediate,
20ALZ,20ALZ,parsed,20,,ALZ,2#0ALZ,,Intermediate,
20AMA,20AMA,parsed,20,,AMA,2#0AMA,,Intermediate,
20AMB,20AMB,parsed,20,,AMB,2#0AMB,,Intermediate,
20AMC,20AMC,parsed,20,,AMC,2#0AMC,,Intermediate,
20AMD,20AMD,parsed,20,,AMD,2#0AMD,,Intermediate,
20AME,20AME,parsed,20,,AME,2#0AME,,Intermediate,
20AMF,20AMF,parsed,20,,AMF,2#0AMF,,Intermediate,
20AMG,20AMG,parsed,20,,AMG,2#0AMG,,Intermediate,
20AMH,20AMH,parsed,20,,AMH,2#0AMH,,Intermediate,
20AMI,20AMI,parsed,20,,AMI,2#0AMI,,Intermediate,
20AMJ,20AMJ,parsed,20,,AMJ,2#0AMJ,,Intermediate,
20AMK,20AMK,parsed,20,,AMK,2#0AMK,,Intermediate,
20AML,20AML,parsed,20,,AML,2#0AML,,Intermediate,
20AMM,20AMM,parsed,20,,AMM,2#0AMM,,Intermediate,
20AMN,20AMN,parsed,20,,AMN,2#0AMN,,Intermediate,
20AMO,20AMO,parsed,20,,AMO,2#0AMO,,Intermediate,
20AMP,20AMP,parsed,20,,AMP,2#0AMP,,Intermediate,
20AMQ,20AMQ,parsed,20,,AMQ,2#0AMQ,,Intermediate,
20AMR,20AMR,parsed,20,,AMR,2#0AMR,,Intermediate,
20AMS,20AMS,parsed,20,,AMS,2#0AMS,,Intermediate,
20AMT,20AMT,parsed,20,,AMT,2#0AMT,,Intermediate,
20AMU,20AMU,parsed,20,,AMU,2#0AMU,,Intermediate,
20AMV,20AMV,parsed,20,,AMV,2#0AMV,,Intermediate,
20AMW,20AMW,parsed,20,,AMW,2#0AMW,,Intermediate,
20AMX,20AMX,parsed,20,,AMX,2#0AMX,,Intermediate,
20AMY,20AMY,parsed,20,,AMY,2#0AMY,,Intermediate,
20ANA,20ANA,parsed,20,,ANA,2#0ANA,,Intermediate,
20ANB,20ANB,parsed,20,,ANB,2#0ANB,,Intermediate,
20ANC,20ANC,parsed,20,,ANC,2#0ANC,,Intermediate,
20AND,20AND,parsed,20,,AND,2#0AND,,Intermediate,
20ANE,20ANE,parsed,20,,ANE,2#0ANE,,Intermediate,
20ANF,20ANF,parsed,20,,ANF,2#0ANF,,Intermediate,
20ANG,20ANG,parsed,20,,ANG,2#0ANG,,Intermediate,
20ANH,20ANH,parsed,20,,ANH,2#0ANH,,Intermediate,
20ANI,20ANI,parsed,20,,ANI,2#0ANI,,Intermediate,
20ANJ,20ANJ,parsed,20,,ANJ,2#0ANJ,,Intermediate,
20ANK,20ANK,parsed,20,,ANK,2#0ANK,,Intermediate,
20ANL,20ANL,parsed,20,,ANL,2#0ANL,,Intermediate,
20ANM,20ANM,parsed,20,,ANM,2#0ANM,,Intermediate,
20ANN,20ANN,parsed,20,,ANN,2#0ANN,,Intermediate,
20ANO,20ANO,parsed,20,,ANO,2#0ANO,,Intermediate,
20ANP,20ANP,parsed,20,,ANP,2#0ANP,,Intermediate,
20ANQ,20ANQ,parsed,20,,ANQ,2#0ANQ,,Intermediate,
