callsign,status,licence_class
20APJ,Allocated,
20APK,Reserved,
20APL,Reserved,
20APM,Reserved,
20APN,Allocated,
20APO,Reserved,
20APP,Reserved,
20APQ,Reserved,
20APR,Allocated,
20APS,Reserved,
20APT,Reserved,
20APU,Reserved,
20APV,Reserved,
20APW,Reserved,
20APX,Allocated,
20APY,Allocated,
20APZ,Allocated,
20AQA,Reserved,
20AQB,Reserved,
20AQC,Reserved,
20AQD,Reserved,
20AQE,Allocated,
20AQF,Reserved,
20AQG,Reserved,
20AQH,Reserved,
20AQI,Allocated,
20AQJ,Reserved,
20AQK,Reserved,
20AQL,Reserved,
20AQM,Reserved,
20AQN,Reserved,
20AQO,Reserved,
20AQP,Reserved,
20AQQ,Allocated,
20AQR,Allocated,
20AQS,Reserved,
20AQT,Reserved,
20AQU,Allocated,
20AQV,Reserved,
20AQW,Reserved,
20AQX,Allocated,
20AQY,Reserved,
20AQZ,Reserved,
20ARA,Allocated,
20ARB,Reserved,
20ARC,Allocated,
20ARD,Reserved,
20ARE,Allocated,
20ARF,Reserved,
20ARG,Reserved,
20ARH,Reserved,
20ARI,Allocated,
20ARJ,Allocated,
20ARK,Reserved,
20ARL,Reserved,
20ARM,Reserved,
20ARN,Reserved,
20ARO,Allocated,
20ARP,Reserved,
20ARQ,Reserved,
20ARR,Reserved,
20ARS,Reserved,
20ART,Reserved,
20ARU,Reserved,
20ARV,Allocated,
20ARW,Allocated,
20ARX,Reserved,
20ARY,Reserved,
20ARZ,Reserved,
20ASA,Reserved,
20ASB,Reserved,
20ASC,Reserved,
20ASD,Reserved,
20ASE,Reserved,
20ASF,Reserved,
20ASG,Reserved,
20ASH,Reserved,
20ASI,Reserved,
20ASJ,Allocated,
20ASK,Reserved,
20ASL,Reserved,
20ASM,Reserved,
20ASN,Reserved,
20ASO,Reserved,
20ASP,Reserved,
20ASQ,Reserved,
20ASR,Reserved,
20AST,Allocated,
20ASU,Allocated,
20ASV,Reserved,
20ASW,Allocated,
20ASX,Allocated,
20ASY,Reserved,
20ASZ,Reserved,
20ATA,Reserved,
20ATB,Allocated,
20ATC,Reserved,
20ATD,Reserved,
20ATE,Reserved,
20ATF,Allocated,
20ATG,Reserved,
20ATH,Reserved,
20ATI,Reserved,
20ATJ,Reserved,
20ATK,Reserved,
20ATL,Reserved,
20ATM,Reserved,
20ATN,Reserved,
20ATO,Reserved,
20ATP,Reserved,
20ATQ,Reserved,
20ATR,Reserved,
20ATS,Reserved,
20ATT,Allocated,
20ATU,Reserved,
20ATV,Reserved,
20ATW,Reserved,
20ATX,Reserved,
20ATY,Allocated,
20ATZ,Allocated,
20AUA,Reserved,
20AUB,Reserved,
20AUC,Allocated,
20AUD,Reserved,
20AUE,Reserved,
20AUF,Reserved,
20AUG,Reserved,
20AUH,Allocated,
20AUI,Allocated,
20AUJ,Reserved,
20AUK,Reserved,
20AUL,Reserved,
20AUM,Allocated,
20AUN,Reserved,
20AUO,Reserved,
20AUP,Reserved,
20AUQ,Reserved,
20AUR,Reserved,
20AUS,Reserved,
20AUU,Allocated,
20AUV,Allocated,
20AUW,Reserved,
20AUX,Reserved,
20AUY,Reserved,
20AUZ,Reserved,
20AVA,Allocated,
20AVB,Allocated,
20AVC,Reserved,
20AVD,Allocated,
20AVE,Reserved,
20AVF,Reserved,
