Value,Product,Status,Type,Call Sign MMSI: Last Modified Date
21RSX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-10-01
21RUS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-08-12
21SCR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-08-26
21SPH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-04-29
21SRI,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-10-27
21SSB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-10-18
21STU,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-03-26
21SWS,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-04-20
21TAP,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-09-21
21TBW,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-01-20
21TER,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-08-27
21TJH,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-10-01
21TSO,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-02-07
21UKT,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-05-17
21USC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-12-07
21WBC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-05-19
21WCB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2020-08-28
21WND,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-05-16
21WSR,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-08-18
21WTG,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-04-23
21WWC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2021-05-28
21XGX,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-03-04
21XRM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2022-04-29
21YHZ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur,2023-03-31
G0AAG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-03-13
G0ACE,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-01-25
G0APN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-10-11
G0ARC,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,2022-04-12
G0ATC,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,2020-11-10
G0ATE,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-08-24
G0AUO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-03-22
G0BAT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-08-06
G0BBR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-03-20
G0BDU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-03-09
G0BEH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-01-25
G0BHY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-06-07
G0BJP,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-12-13
G0BKZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-02-24
G0BRX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-09-27
G0BTV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-08-05
